Transaction ID,Date,Member Name,Department,Event Type,Region,Amount,Discount,Quantity,Total,Payment Method
CHC40479,2022/04/05,Member_0397,Administration,Conference,East,1836.44,0,2,3672.87,Cash
CHC40433,17 Dec 2024,Member_0592,Youth Ministry,Sunday Service,South,-196.08681341481596,0,N/A,784.35,Cheque
CHC40584,05-11-2023,Member_0409,Main Sanctuary,Conference,Central,1359.31,$0.00,1,1359.31,Cheque
CHC40140,"January 20, 2024",Member_0355,Youth Ministry,Conference,South,1874.41,0,1,1874.41,Bank Transfer
CHC40060,06-10-2024,Member_0544,Music Ministry,Building Fund,South,3031.94,0,1,3031.94,Cash
CHC40578,06 Nov 2022,Member_0246,Youth Ministry,null,South,$387.82,0,2,775.64,Cheque
CHC40397,"October 21, 2022",Member_0241,Administration,Midweek Service,West,438.63,0,4,unknown,Cheque
CHC40176,"June 04, 2024",Member_0588,Administration,Conference,East,2842.12,0,1,2842.12,Cash
CHC40439,30 May 2023,Member_0529,Youth Ministry,Sunday Service,Central,238.16,0,1,238.16,MOBILE MONEY
CHC40409,03/07/2024,Member_0175,administration,Conference,East,317.4,0,2,634.79,Cheque
CHC40431,2024/08/02,Member_0301,Main Sanctuary,Conference,Central,2659.86, 0 ,1,,BANK TRANSFER
CHC40345,16-11-2023,Member_0502,ADMINISTRATION, Sunday Service,east, 260.8292957873027 ,0,1,260.83,
CHC40499,"September 27, 2023",Member_0427,Children's Church,Midweek Service,East,447.2,0,1,447.2,Cash
CHC40319,0000-00-00,member_0547,Main Sanctuary,None,Central,4784.29,,1,4784.29,Mobile Money
CHC40420,2023-01-28,Member_0449,Main Sanctuary,TBD,East,7040.44,$0.00,4,28161.74,cheque
CHC40593,26 Jun 2022,Member_0309,Music Ministry,,South,449.73,0,3,1349.18,Mobile Money
CHC40263,18-08-2024,  Member_0449  ,Youth Ministry,Special Program,West,1305.61,0,3,-3916.8184729667064,Bank Transfer
CHC40252,01/04/2023,Member_0475,Main Sanctuary,OUTREACH,  North  ,254,0,1,N/A,Mobile Money
CHC40084,08/27/24,Member_0540,Children's Church,Sunday Service,North,157.1,0,4,628.41,Cheque
CHC40284,"October 14, 2024", Member_0193,  Outreach  ,Conference,West,1568,0,2,3135,Cash
CHC40318,"August 07, 2024",Member_0585,Outreach,Outreach,East,570.2,0,2,1140.41,
CHC40511,2022/11/24,Member_0445,Main Sanctuary,Midweek Service,Central,179.74,0,1,179.74,Mobile Money
CHC40026,10/27/24,Member_0427,Administration,Conference,Central,2647.05,0,1,2647.05,Bank Transfer
CHC40521,06/15/2024,Member_0254,Youth Ministry,Conference,East,375.31,0,2,750.62,mobile money
