Transaction ID,Date,Student Name,Department,Program Type,Region,Tuition,Discount,Quantity,Payment,Payment Method
TXN10049,21-03-2024,Student_0009,Arts,Diploma,North,4086.65,0,1,4086.65,Bank Transfer
TXN10634,03/25/22,student_0262,Business,Certificate,West,676.01, 0 ,3,2028.02,Loan
TXN10069,03/04/24,Student_0794,Sciences,Certificate,  East  ,1810,0,3,5430.51,Loan
TXN10653,02/18/22,Student_0107,Arts,Graduate,West,19330.97,967.37,4,73454.37,Cash
TXN10764,09/12/2024,student_0192,Arts,Undergraduate,East,9916.44,1585.44,5,41655.01,Loan
TXN10012,10-03-2024,Student_0466,Sciences,Certificate,Central,1034.37,0,2,"$2,068.74",  Loan  
TXN10312,07/22/2024,Student_0634,Sciences,Graduate,South,12462.83,0,2,24925.66,Cash
TXN10277,11/22/22,  Student_0394  ,Medicine,PhD,West,24219.5,0,5,121097.49,Cash
TXN10726,2023/10/29,Student_0176,Law,,Central,18578.48,0,2,37156.96,Bank Transfer
TXN10088,22-10-2022,Student_0736,Law,Undergraduate, West,3539.22,991.29,4,10191.71,Credit Card
TXN10542,12/24/2022,Student_0633,Education,PhD,South,30734.71,667.17,-,60135.08,Credit Card
TXN10387,05/14/2022,Student_0266,Business,Diploma,East,4469.27,0,1,4469.27,Credit Card
TXN10193,04 May 2024,Student_0766,Medicine,Graduate,West,14509.9,,3,43529.69,Bank Transfer
TXN10611,15 Nov 2023,Student_0363,Business,PhD,Central,33656.87,0,3,100970.61,Credit Card
TXN10149,05/08/22,Student_0679,Medicine,Undergraduate,East,3860.19,440.32,1,3419.87,  Bank Transfer  
TXN10338,11 Aug 2023,Student_0165,Arts,Certificate,North,,0,4,10601.86,Scholarship
TXN10503,05/23/22,Student_0098,Engineering,Certificate,East,2739.57,0,3,8218.72,Scholarship
TXN10029,"August 10, 2022",Student_0027,Business,PhD,West,27117.85,$0.00,2,54235.71,Cash
TXN10594,10/08/23,Student_0691,Arts,Diploma,Central,1873.91,0,,5621.74,Loan
TXN10504,2022-07-30,, Sciences,Certificate,West,2622,0,3,7865.04,Loan
TXN10203,24-06-2022,Student_0216,Business,Diploma,West,2054.56,209.05,5,9227.52,Credit Card
TXN10539,2022/04/27,Student_0112,Law,PhD,East,31584.79,981.34,6,183620.71,Loan
TXN10496,11/26/2022,,Business,Undergraduate,Central, 9186.027696573467 ,0,6,55116.17,Loan
TXN10438,24 May 2024,Student_0173,ENGINEERING,Diploma,South, 4552.4301270749165 ,0,4,18209.72,Bank Transfer
TXN10421,28-05-2022,Student_0140,Sciences,PhD,,24273.02,1016.49,5,116282.7,Scholarship
TXN10664,30 Sep 2022,Student_0543,Sciences,Certificate,South,2880.94,0,3,8642.81,Scholarship
TXN10096,27-10-2022,Student_0044,Law,Diploma,West,3944.36,1812.37,3,6395.97,Loan
