Transaction ID,Date,Contractor Name,Department,Project Type,Region,Amount,Discount,Quantity,Total
GOV30225,27-01-2023,Contractor_020,Health,Hospital Project,South,532318.58,9898.06,2.0,1044841.04
GOV30627,08/28/24,Contractor_062,,Water Supply,West,666607.92, 0 ,11,7332687.14
GOV30529,01-09-2023,Contractor_034,Infrastructure,Water Supply,North,101363.45,4394.76,3,290906.07
GOV30336,2022/04/13,Contractor_016,Agriculture,Road Construction,West,4989047.75,0,6,
GOV30339,2023-08-16,,Energy,,East,,0,12,5513654.25
GOV30620,2023/04/02,Contractor_010,,,Central, 654286.0407158076 ,,3,1962858.12
GOV30048,11/15/2023,Contractor_079,Infrastructure,School Building,,"$1,383,858.37",0,,9687008.59
GOV30334,2024-04-28,Contractor_091,Energy,Road Construction,North,1419433.47,9735.34,6,8458188.8
GOV30084,invalid,Contractor_044,Defense,Rural Electrification,West,807567.32,32302.13,10,7752651.88
GOV30422,2023/05/16,Contractor_018,Health,Rural Electrification,North,428647.35,0,5,
GOV30247,07 May 2023,Contractor_004,Education,Road Construction,West,2385621,0,3,7156862.51
GOV30666,01/24/2024,Contractor_080,Education,Road Construction,North,-1896973.7133449365,64430.91,5,9162714.01
GOV30253,19-02-2024,Contractor_055,  Infrastructure  ,  Public Transport  ,East,-204744.03818107705,0,-6,1228464.23
GOV30227,N/A,  Contractor_061  ,Defense,Hospital Project,South,6648693.62,0,12,79784323.44
GOV30308,"July 18, 2024",Contractor_027,Defense,null,East,334621.08,0,11,3680831.87
GOV30281,2022/02/16,Contractor_030,Energy,Public Transport,CENTRAL,1114125.75,0,9,10027131.71
GOV30069,27 Feb 2023,Contractor_095,Defense,School Building,East,430175.85,0,-6,2581055.09
GOV30290,04/12/2023,Contractor_066,Infrastructure,Rural Electrification,South,2717434.59,49737.43,5,13338485.83
GOV30372,12/20/23,Contractor_045,Energy,Hospital Project,East,7786680.45,"$645,722.70",5,35704788.77
GOV30021,21-02-2022,Contractor_082,ENERGY,Road Construction, Central,"$859,461.66",0,1,859461.66
GOV30097,"April 21, 2023",  Contractor_045  ,Defense,Road Construction,West,4103726.22,$0.00,8,32829809.78
GOV30253,19-02-2024,Contractor_055,  Infrastructure  ,  Public Transport  ,East,-204744.03818107705,0,-6,1228464.23
GOV30051,02 Feb 2022,Contractor_078,Infrastructure,Water Supply,N/A,529099.39,$0.00,11,5820093.3
GOV30505,"January 25, 2023",TBD,Energy,Water Supply,,664188.42,0,8,5313507
GOV30086,"October 09, 2023",Contractor_060,  ,Rural Electrification,North,250071.65,0,5,1250358.24
GOV30259,24 Jul 2023,Contractor_037,Transport,Road Construction,South,1407732.94,0,11,15485062.3
GOV30246,2022-01-24,Contractor_097,Defense,Road Construction,South,3038430.48,0,1,3038430.48
GOV30354,07/21/2022,Contractor_081,Education,Road Construction,South, 1701487.1317391917 ,0,9,15313384.19
GOV30162,"October 02, 2022",CONTRACTOR_003,Defense,Water Supply,North,671321.57,0,3,-2013964.7107779637
GOV30622,09/22/2023,,Transport,School Building,Unknown,1579605.24,0,-5,7898026.18
GOV30439,2022-07-31,Contractor_098,Transport,Water Supply,Central,166584.01,4196.91,12,-1948645.1668838793
GOV30464,04/30/24,Contractor_091,Education,Public Transport,East,666296,37016.24,4,2517120.14
GOV30661,0000-00-00,Contractor_096, Transport,Hospital Project, North,5393512.66,0,12,64722151.92
GOV30513,22 Mar 2023,Contractor_062,Agriculture,Road Construction,South,N/A,312288.57,10,37884929.22
GOV30528,2023/01/08, Contractor_099,Defense,Public Transport,East, 438279.7695022358 ,0,-7,3067958.39
GOV30605,28-08-2023,Contractor_010,Energy,  Rural Electrification  ,South,2308736.19,0,6,13852417.14
GOV30696,18-10-2022,Contractor_032,Infrastructure,Water Supply,West,485546.35,0,3,1456639.05
GOV30296,TBD,Contractor_036,Defense,Public Transport,North,919524.2,0,8,7356193.56
GOV30325,invalid,Contractor_059,Infrastructure,Road Construction,,1646107.87,0,7,11522755.07
GOV30484,2023/03/18,Contractor_077,Health,Public Transport,Central,746962.52,0,10,7469625.16
GOV30028,08 Jun 2023,Contractor_044,Transport,Hospital Project,Central,7065986.87,0,7,
GOV30146,2024-10-16,Contractor_047,Education,Road Construction,Central,2230313.94,0,11,-24533453.30734752
GOV30644,02/25/22,Contractor_091,Health,School Building,East,1528023.22,0,4.0,6112092.89
