Transaction ID,Date,Donor Name,Program Type,Region,Amount,Discount,Quantity,Total,Funding Source
NGO50071,10-03-2023,Donor_070,Food Aid,South,37076.53,-,6,211667.23,Corporate
NGO50338,07-08-2023,Donor_191,Shelter,West,70482.18,0,10,704821.82,Individual
NGO50157,08-02-2023,Donor_072,Education Support,West,43027.65,1520.49,7,290550.17,Corporate
NGO50644,2022/11/08,Donor_177,Health Outreach,North,TBD,2204.46,8,338671.26,
NGO50277,2023-05-10,  Donor_148  ,Skills Training,West,35709.54,1180.49,3,"$103,587.16",Individual
NGO50466,2024/07/11,Donor_054,  Water Project  ,International,104919.25,0,6,629515.5,Corporate
NGO50075,12/31/22,donor_030,Education Support,North,8860.74,0,7,62025.16,Individual
NGO50449,"October 18, 2023",Donor_157, Food Aid,  Central  ,85273.41,0,8, 682187.2428017596 ,Individual
NGO50604,2023-10-16,  -  ,Food Aid,West,13750.08,645.76,2,26208.65,Government
NGO50132,05/26/24,donor_199,Skills Training,  International  ,"$8,277.25",0,6,"$49,663.48",Corporate
NGO50347,"June 01, 2023",Donor_025,Shelter,Central,,,1,63562.68, Individual
NGO50014,23 Jun 2023,Donor_031,Shelter,International,154142.39,5856.96,N/A,148285.42,International Aid
NGO50526,09/10/23,,Shelter,North,107720.12,0,1,107720.12,  Grant  
NGO50609,"March 14, 2023",Donor_009,Health Outreach,West,144654.26,226.35,5,722139.58,Corporate
NGO50031,2024-09-09,  Donor_112  ,Food Aid,East,56588.45,1637.55,2,109901.81,Individual
NGO50639,03/01/22,Donor_079,Health Outreach,East,9751.58,0,9,87764.22,Corporate
NGO50495,2023-11-20,Donor_144,Water Project,North,14472.4,0,8,115779.18,Government
NGO50199,19 Aug 2024,Donor_031,,South, 9367.607253576174 ,195.35,7,-64205.7807577428,Corporate
NGO50425,10/07/22,Donor_019,Food Aid,,26616.98,$0.00,10,266169.77,Government
NGO50396,2022-05-14,Donor_192,Emergency Relief,,703379.09,0,1,703379.09,International Aid
NGO50153,2024/12/02,Donor_082,Education Support,South,61292.15,0,1,61292.15,International Aid
