farm_id,farm_name,crop,harvest_kg,hectares,date,rainfall_mm,temperature_c,livestock_type,livestock_count
Farm_0,Farm_0,Rice,81144.19,47.18,2024-01-01,45.55,33.6,Cattle,134
Farm_1,Farm_1,Cassava,41191.01,16.05,2024-01-02,36.12,31.8,Goat,79
Farm_2,Farm_2,Rice,27950.57,13.49,2024-01-03,23.89,33.5,Cattle,138
Farm_3,Farm_3,Rice,17046.05,11.91,2024-01-04,20.34,22.4,Sheep,103
Farm_4,Farm_4,Wheat,76017.9,39.52,2024-01-05,24.07,32.0,Sheep,25
Farm_5,Farm_5,Wheat,6423.5,11.62,2024-01-06,30.73,27.3,Sheep,37
Farm_6,Farm_6,Maize,63513.23,40.48,2024-01-07,9.99,28.9,Cattle,73
Farm_7,Farm_7,Wheat,54217.43,36.9,2024-01-08,12.64,20.6,Poultry,49
Farm_8,Farm_8,Maize,12548.01,21.67,2024-01-09,12.77,23.1,Poultry,170
Farm_9,Farm_9,Cassava,40948.66,25.1,2024-01-10,10.6,29.9,Sheep,68
Farm_10,Farm_10,Cassava,127517.93,45.55,2024-01-11,38.91,28.2,Poultry,146
Farm_11,Farm_11,Cassava,88117.95,39.76,2024-01-12,44.84,21.1,Poultry,32
Farm_12,Farm_12,Rice,6173.19,8.54,2024-01-13,22.89,28.1,Poultry,73
Farm_13,Farm_13,Wheat,58851.23,37.7,2024-01-14,3.43,25.6,Sheep,38
Farm_14,Farm_14,Cassava,43211.93,20.75,2024-01-15,9.65,28.2,Goat,60
Farm_15,Farm_15,Rice,87150.59,49.58,2024-01-16,47.35,34.4,Goat,188
Farm_16,Farm_16,Maize,5715.05,11.37,2024-01-17,5.06,23.8,Goat,41
Farm_17,Farm_17,Maize,56943.56,21.11,2024-01-18,44.74,26.6,Goat,133
Farm_18,Farm_18,Cassava,78291.47,47.22,2024-01-19,14.49,29.6,Cattle,182
Farm_19,Farm_19,Rice,41613.33,29.43,2024-01-20,14.74,33.0,Goat,170
Farm_0,Farm_0,Rice,108358.97,37.05,2024-01-21,17.24,34.5,Sheep,24
Farm_1,Farm_1,Rice,66817.92,30.63,2024-01-22,37.51,30.8,Cattle,61
Farm_2,Farm_2,Cassava,33738.97,12.34,2024-01-23,43.86,20.0,Poultry,190
Farm_3,Farm_3,Beans,3114.64,3.67,2024-01-24,46.27,27.5,Goat,161
Farm_4,Farm_4,Rice,7293.2,5.66,2024-01-25,16.35,32.1,Goat,149
Farm_5,Farm_5,Beans,15043.91,18.65,2024-01-26,10.83,22.4,Goat,179
Farm_6,Farm_6,Rice,10676.67,5.51,2024-01-27,22.64,27.7,Cattle,109
Farm_7,Farm_7,Cassava,7486.61,9.33,2024-01-28,0.06,30.6,Cattle,74
Farm_8,Farm_8,Rice,57466.91,24.81,2024-01-29,36.03,31.8,Poultry,121
Farm_9,Farm_9,Wheat,31297.13,18.4,2024-01-30,20.67,25.2,Goat,89
Farm_10,Farm_10,Cassava,23742.77,28.55,2024-01-31,33.76,20.5,Cattle,52
Farm_11,Farm_11,Cassava,12048.76,17.82,2024-02-01,42.0,21.3,Goat,90
Farm_12,Farm_12,Rice,68957.03,28.25,2024-02-02,33.17,23.9,Cattle,59
Farm_13,Farm_13,Beans,64235.72,32.51,2024-02-03,3.32,26.5,Goat,167
Farm_14,Farm_14,Wheat,57598.04,42.86,2024-02-04,13.34,26.7,Goat,147
Farm_15,Farm_15,Maize,3298.56,2.64,2024-02-05,19.64,34.1,Cattle,193
Farm_16,Farm_16,Cassava,70751.42,37.79,2024-02-06,43.78,23.7,Poultry,171
Farm_17,Farm_17,Beans,16071.51,19.31,2024-02-07,13.02,33.8,Cattle,41
Farm_18,Farm_18,Rice,27882.44,13.21,2024-02-08,47.27,22.0,Sheep,4
Farm_19,Farm_19,Maize,10056.76,6.46,2024-02-09,4.93,31.3,Poultry,49
Farm_0,Farm_0,Wheat,31133.06,27.4,2024-02-10,15.47,25.8,Cattle,189
Farm_1,Farm_1,Cassava,46944.84,35.6,2024-02-11,36.64,24.2,Goat,153
Farm_2,Farm_2,Maize,39634.22,49.99,2024-02-12,35.81,24.2,Poultry,181
Farm_3,Farm_3,Rice,43103.71,16.22,2024-02-13,30.31,29.0,Goat,100
Farm_4,Farm_4,Beans,120315.09,49.14,2024-02-14,17.73,21.7,Goat,55
Farm_5,Farm_5,Cassava,25127.99,26.82,2024-02-15,30.69,22.5,Goat,49
Farm_6,Farm_6,Cassava,84134.58,44.85,2024-02-16,35.65,23.8,Sheep,26
Farm_7,Farm_7,Beans,3867.05,5.43,2024-02-17,0.68,28.4,Poultry,20
Farm_8,Farm_8,Wheat,5664.51,3.77,2024-02-18,11.68,21.6,Goat,87
Farm_9,Farm_9,Beans,16040.05,22.51,2024-02-19,49.02,33.8,Goat,45
Farm_10,Farm_10,Beans,2087.88,2.1,2024-02-20,10.55,25.2,Goat,193
Farm_11,Farm_11,Maize,9417.62,16.05,2024-02-21,19.6,25.5,Cattle,45
Farm_12,Farm_12,Maize,4838.79,2.47,2024-02-22,30.13,22.7,Poultry,61
Farm_13,Farm_13,Wheat,74173.11,41.11,2024-02-23,37.46,26.5,Poultry,174
Farm_14,Farm_14,Cassava,11611.24,4.96,2024-02-24,19.4,33.1,Sheep,122
Farm_15,Farm_15,Cassava,29911.74,28.11,2024-02-25,11.19,32.1,Poultry,103
Farm_16,Farm_16,Beans,74496.92,48.46,2024-02-26,33.18,22.7,Goat,181
Farm_17,Farm_17,Beans,48607.56,24.06,2024-02-27,49.0,20.7,Cattle,159
Farm_18,Farm_18,Cassava,33152.89,16.2,2024-02-28,23.41,32.5,Sheep,34
Farm_19,Farm_19,Wheat,47420.25,42.97,2024-02-29,25.98,28.8,Poultry,181
Farm_0,Farm_0,Wheat,72530.79,37.23,2024-03-01,47.71,26.8,Goat,69
Farm_1,Farm_1,Maize,10882.06,7.74,2024-03-02,28.36,21.8,Cattle,144
Farm_2,Farm_2,Maize,51342.86,22.12,2024-03-03,30.07,25.2,Poultry,54
Farm_3,Farm_3,Cassava,53517.68,18.47,2024-03-04,49.07,29.4,Goat,150
Farm_4,Farm_4,Rice,85229.21,40.38,2024-03-05,24.92,22.2,Poultry,8
Farm_5,Farm_5,Wheat,67188.56,25.04,2024-03-06,47.93,29.8,Cattle,114
Farm_6,Farm_6,Beans,49472.26,21.57,2024-03-07,11.76,26.2,Cattle,83
Farm_7,Farm_7,Beans,44274.74,21.59,2024-03-08,47.47,23.2,Sheep,9
Farm_8,Farm_8,Maize,52399.29,36.41,2024-03-09,27.01,30.8,Cattle,176
Farm_9,Farm_9,Maize,108817.79,48.76,2024-03-10,41.05,26.5,Cattle,117
Farm_10,Farm_10,Beans,91336.62,32.18,2024-03-11,47.88,30.1,Poultry,45
Farm_11,Farm_11,Maize,36030.47,21.86,2024-03-12,8.51,27.1,Sheep,47
Farm_12,Farm_12,Rice,29651.86,31.33,2024-03-13,49.79,29.3,Sheep,156
Farm_13,Farm_13,Rice,117356.23,49.93,2024-03-14,33.62,35.0,Cattle,127
Farm_14,Farm_14,Rice,84417.37,45.12,2024-03-15,3.8,25.9,Poultry,75
Farm_15,Farm_15,Cassava,4583.57,5.6,2024-03-16,9.66,24.0,Goat,155
Farm_16,Farm_16,Maize,19768.43,12.84,2024-03-17,18.29,34.6,Goat,77
Farm_17,Farm_17,Maize,28571.97,27.64,2024-03-18,44.11,29.3,Cattle,197
Farm_18,Farm_18,Wheat,27762.41,24.39,2024-03-19,13.86,23.2,Poultry,30
Farm_19,Farm_19,Maize,54183.45,21.97,2024-03-20,16.22,29.3,Sheep,24
Farm_0,Farm_0,Maize,20782.5,17.06,2024-03-21,13.75,20.0,Sheep,123
Farm_1,Farm_1,Beans,53013.47,41.45,2024-03-22,49.15,34.4,Sheep,160
Farm_2,Farm_2,Maize,61710.14,26.62,2024-03-23,33.47,29.1,Cattle,163
Farm_3,Farm_3,Wheat,4309.56,3.29,2024-03-24,6.35,34.0,Cattle,13
Farm_4,Farm_4,Cassava,66752.58,29.11,2024-03-25,1.63,30.1,Poultry,17
Farm_5,Farm_5,Cassava,43141.13,49.28,2024-03-26,12.98,23.5,Goat,156
Farm_6,Farm_6,Cassava,18633.92,19.33,2024-03-27,24.08,25.7,Poultry,70
Farm_7,Farm_7,Wheat,37711.15,19.71,2024-03-28,45.32,31.5,Goat,87
Farm_8,Farm_8,Wheat,93807.12,42.47,2024-03-29,25.23,26.5,Sheep,136
