project_id,project_name,department,budget,spent,status,start_date,end_date,contractor,revenue_amount,asset_value
PRJ1000,Project_0,Agriculture,841978.41,827110.49,active,2024-01-01,2024-09-06,GreenWorks,21405.81,403371.14
PRJ1001,Project_1,Transport,201439.66,139975.39,delayed,2024-01-02,2024-09-19,TechSol,6192.82,56972.42
PRJ1002,Project_2,Finance,922392.12,500870.84,completed,2024-01-03,2024-10-01,GreenWorks,14044.59,212444.35
PRJ1003,Project_3,Transport,592492.9,570570.47,active,2024-01-04,2024-10-09,TechSol,3699.49,322969.47
PRJ1004,Project_4,Transport,125992.03,295764.65,active,2024-01-05,2024-06-10,Infra Ltd,37218.04,77150.74
PRJ1005,Project_5,Finance,129883.98,572296.32,active,2024-01-06,2024-10-21,GreenWorks,40768.17,97829.78
PRJ1006,Project_6,Finance,455448.74,467909.57,active,2024-01-07,2024-10-31,BuildCo,49206.68,281674.18
PRJ1007,Project_7,Agriculture,480871.88,364767.16,delayed,2024-01-08,2024-09-17,GreenWorks,9450.7,26046.07
PRJ1008,Project_8,Transport,979690.81,696408.85,completed,2024-01-09,2024-08-21,BuildCo,45754.51,191660.59
PRJ1009,Project_9,Transport,193865.18,132961.91,completed,2024-01-10,2024-03-13,ConsultPro,6261.14,154086.21
PRJ1010,Project_10,Transport,157086.53,460281.04,completed,2024-01-11,2024-03-28,TechSol,4846.66,280292.38
PRJ1011,Project_11,Finance,701536.17,239382.17,completed,2024-01-12,2024-10-20,TechSol,7757.13,128655.9
PRJ1012,Project_12,Transport,575093.8,276318.11,delayed,2024-01-13,2024-07-27,TechSol,14995.3,224444.38
PRJ1013,Project_13,Finance,147079.95,568828.85,completed,2024-01-14,2024-12-19,ConsultPro,7366.56,222220.77
PRJ1014,Project_14,Finance,306648.18,255380.97,active,2024-01-15,2024-06-09,BuildCo,21111.49,190791.46
PRJ1015,Project_15,Transport,235724.82,566103.65,completed,2024-01-16,2025-01-14,TechSol,41017.86,191422.48
PRJ1016,Project_16,Education,511865.68,822837.35,active,2024-01-17,2024-09-12,TechSol,1306.04,154338.59
PRJ1017,Project_17,Transport,209928.03,645205.69,active,2024-01-18,2024-12-27,Infra Ltd,42498.7,397264.46
PRJ1018,Project_18,Transport,730082.45,234417.81,completed,2024-01-19,2024-09-02,ConsultPro,46911.48,372752.99
PRJ1019,Project_19,Finance,501681.19,873859.15,completed,2024-01-20,2024-09-21,GreenWorks,3601.53,119222.81
PRJ1020,Project_20,Transport,85595.76,209220.2,active,2024-01-21,2024-09-12,GreenWorks,8040.09,46533.15
PRJ1021,Project_21,Finance,498891.39,588558.78,delayed,2024-01-22,2024-06-12,TechSol,32289.35,346190.34
PRJ1022,Project_22,Agriculture,595546.03,75623.75,active,2024-01-23,2024-11-11,TechSol,11618.32,61380.59
PRJ1023,Project_23,Agriculture,513296.89,430882.92,delayed,2024-01-24,2024-11-17,ConsultPro,24957.23,192025.6
