reservation_id,guest_id,guest_name,room_id,room_type,check_in,check_out,nights,amount,service_type,date
RES1000,GST1000,Guest_0,RM100,Suite,2024-01-29,2024-01-31,2,859.81,Laundry,2024-01-01
RES1001,GST1001,Guest_1,RM101,Suite,2024-01-20,2024-01-22,2,429.47,Spa,2024-01-02
RES1002,GST1002,Guest_2,RM102,Suite,2024-01-10,2024-01-15,5,706.75,Spa,2024-01-03
RES1003,GST1003,Guest_3,RM103,Suite,2024-01-21,2024-01-22,1,722.6,Laundry,2024-01-04
RES1004,GST1004,Guest_4,RM104,Family,2024-01-19,2024-01-22,3,792.08,Laundry,2024-01-05
RES1005,GST1005,Guest_5,RM105,Deluxe,2024-01-21,2024-01-22,1,988.86,Spa,2024-01-06
RES1006,GST1006,Guest_6,RM106,Standard,2024-01-30,2024-01-31,1,63.69,Restaurant,2024-01-07
RES1007,GST1007,Guest_7,RM107,Standard,2024-01-08,2024-01-11,3,73.43,Laundry,2024-01-08
RES1008,GST1008,Guest_8,RM108,Deluxe,2024-01-19,2024-01-25,6,647.9,Laundry,2024-01-09
RES1009,GST1009,Guest_9,RM109,Family,2024-01-26,2024-01-31,5,989.98,Spa,2024-01-10
RES1010,GST1010,Guest_10,RM110,Family,2024-01-18,2024-01-20,2,615.64,Restaurant,2024-01-11
RES1011,GST1011,Guest_11,RM111,Standard,2024-02-10,2024-02-12,2,552.08,Laundry,2024-01-12
RES1012,GST1012,Guest_12,RM112,Family,2024-02-08,2024-02-11,3,534.91,Minibar,2024-01-13
RES1013,GST1013,Guest_13,RM113,Suite,2024-01-25,2024-01-27,2,137.07,Spa,2024-01-14
RES1014,GST1014,Guest_14,RM114,Family,2024-01-18,2024-01-21,3,855.06,Laundry,2024-01-15
RES1015,GST1015,Guest_15,RM115,Deluxe,2024-01-16,2024-01-21,5,557.58,Laundry,2024-01-16
RES1016,GST1016,Guest_16,RM116,Standard,2024-01-25,2024-01-27,2,542.43,Minibar,2024-01-17
RES1017,GST1017,Guest_17,RM117,Deluxe,2024-01-25,2024-01-30,5,463.77,Laundry,2024-01-18
