policy_id,customer_id,premium,coverage_amount,claim_id,claim_amount,status,date,agent_id
POL1000,CUST1000,1596.1,48174.82,CLM10000,34566.78,approved,2024-01-01,AGT100
POL1001,CUST1001,1683.97,137537.03,CLM10001,30635.43,approved,2024-01-02,AGT101
POL1002,CUST1002,1141.02,181418.93,CLM10002,8980.93,pending,2024-01-03,AGT102
POL1003,CUST1003,1949.55,220187.83,CLM10003,3236.75,pending,2024-01-04,AGT103
POL1004,CUST1004,549.98,188819.3,CLM10004,3212.67,approved,2024-01-05,AGT104
POL1005,CUST1005,1329.15,55367.64,CLM10005,39074.03,pending,2024-01-06,AGT105
POL1006,CUST1006,223.55,346344.77,CLM10006,6015.33,pending,2024-01-07,AGT106
POL1007,CUST1007,1155.6,291758.99,CLM10007,2459.31,pending,2024-01-08,AGT107
POL1008,CUST1008,864.48,44091.35,CLM10008,40871.05,rejected,2024-01-09,AGT108
POL1009,CUST1009,605.34,474111.53,CLM10009,10589.24,pending,2024-01-10,AGT109
POL1010,CUST1010,1974.7,338339.09,CLM10010,26249.93,rejected,2024-01-11,AGT110
POL1011,CUST1011,854.9,136227.88,CLM10011,11231.19,pending,2024-01-12,AGT111
POL1012,CUST1012,724.07,205144.61,CLM10012,36411.25,approved,2024-01-13,AGT112
POL1013,CUST1013,337.8,159244.77,CLM10013,21273.54,rejected,2024-01-14,AGT113
POL1014,CUST1014,311.77,102438.19,CLM10014,19996.95,pending,2024-01-15,AGT114
POL1015,CUST1015,1970.69,377520.22,CLM10015,37653.96,rejected,2024-01-16,AGT115
POL1016,CUST1016,1199.99,244243.09,CLM10016,33300.74,pending,2024-01-17,AGT116
POL1017,CUST1017,1794.98,104432.04,CLM10017,38508.23,pending,2024-01-18,AGT117
POL1018,CUST1018,128.65,415057.69,CLM10018,29256.1,rejected,2024-01-19,AGT118
POL1019,CUST1019,1239.43,25473.3,CLM10019,24607.51,pending,2024-01-20,AGT119
POL1020,CUST1020,898.43,471766.51,CLM10020,29380.51,pending,2024-01-21,AGT100
POL1021,CUST1021,810.09,149566.92,CLM10021,35372.4,approved,2024-01-22,AGT101
POL1022,CUST1022,1442.37,456279.18,CLM10022,7332.07,rejected,2024-01-23,AGT102
POL1023,CUST1023,216.68,347248.81,CLM10023,11554.73,pending,2024-01-24,AGT103
POL1024,CUST1024,548.04,102647.88,CLM10024,1614.62,pending,2024-01-25,AGT104
POL1025,CUST1025,566.95,35437.58,CLM10025,12254.46,approved,2024-01-26,AGT105
POL1026,CUST1026,952.36,321299.95,CLM10026,18466.0,approved,2024-01-27,AGT106
