machine_id,machine_name,date,production_volume,units_produced,downtime_hours,status,good_units,total_units,product_name
MCH_0,MCH_0,2024-01-01,108,108,2.35,running,96,108,Widget
MCH_1,MCH_1,2024-01-02,224,224,3.33,running,216,224,Tool
MCH_2,MCH_2,2024-01-03,274,274,3.56,running,250,274,Component
MCH_3,MCH_3,2024-01-04,318,318,2.06,running,305,318,Tool
MCH_4,MCH_4,2024-01-05,353,353,3.59,running,301,353,Tool
MCH_5,MCH_5,2024-01-06,281,281,3.7,running,255,281,Gadget
MCH_6,MCH_6,2024-01-07,71,71,2.18,running,66,71,Gadget
MCH_7,MCH_7,2024-01-08,362,362,2.44,running,348,362,Assembly
MCH_8,MCH_8,2024-01-09,471,471,0.77,running,457,471,Component
MCH_9,MCH_9,2024-01-10,343,343,0.94,down,322,343,Component
MCH_0,MCH_0,2024-01-11,436,436,0.76,maintenance,422,436,Tool
MCH_1,MCH_1,2024-01-12,438,438,3.9,running,387,438,Gadget
MCH_2,MCH_2,2024-01-13,322,322,1.33,running,307,322,Tool
MCH_3,MCH_3,2024-01-14,315,315,3.19,running,281,315,Tool
MCH_4,MCH_4,2024-01-15,111,111,2.31,running,100,111,Gadget
MCH_5,MCH_5,2024-01-16,287,287,1.67,running,258,287,Assembly
MCH_6,MCH_6,2024-01-17,402,402,2.46,down,371,402,Gadget
MCH_7,MCH_7,2024-01-18,397,397,3.83,maintenance,381,397,Tool
MCH_8,MCH_8,2024-01-19,412,412,1.66,down,397,412,Assembly
MCH_9,MCH_9,2024-01-20,144,144,2.91,running,124,144,Assembly
MCH_0,MCH_0,2024-01-21,414,414,0.01,running,374,414,Assembly
MCH_1,MCH_1,2024-01-22,97,97,2.39,running,83,97,Component
MCH_2,MCH_2,2024-01-23,215,215,0.8,maintenance,200,215,Tool
MCH_3,MCH_3,2024-01-24,88,88,2.86,running,75,88,Tool
MCH_4,MCH_4,2024-01-25,216,216,3.59,running,207,216,Widget
MCH_5,MCH_5,2024-01-26,263,263,3.42,maintenance,231,263,Widget
MCH_6,MCH_6,2024-01-27,67,67,1.19,down,61,67,Gadget
MCH_7,MCH_7,2024-01-28,219,219,2.17,running,205,219,Widget
MCH_8,MCH_8,2024-01-29,478,478,1.28,running,421,478,Tool
MCH_9,MCH_9,2024-01-30,130,130,1.35,running,127,130,Gadget
MCH_0,MCH_0,2024-01-31,405,405,3.21,running,350,405,Component
MCH_1,MCH_1,2024-02-01,206,206,2.45,running,183,206,Tool
MCH_2,MCH_2,2024-02-02,89,89,3.28,running,84,89,Gadget
MCH_3,MCH_3,2024-02-03,351,351,2.31,running,306,351,Assembly
MCH_4,MCH_4,2024-02-04,498,498,1.98,running,449,498,Tool
MCH_5,MCH_5,2024-02-05,369,369,2.05,down,320,369,Gadget
MCH_6,MCH_6,2024-02-06,363,363,3.58,running,340,363,Gadget
