order_id,order_date,customer_name,segment,region,category,product_name,sales,quantity,discount,profit
ORD1000,2024-01-01,Customer_0,Consumer,Central,Electronics,Product_0,743.66,5,0.08,105.7
ORD1001,2024-01-02,Customer_1,Corporate,South,Office Supplies,Product_1,680.55,9,0.28,182.67
ORD1002,2024-01-03,Customer_2,Corporate,East,Office Supplies,Product_2,520.65,2,0.2,148.54
ORD1003,2024-01-04,Customer_3,Home Office,Central,Food,Product_3,203.28,1,0.11,33.74
ORD1004,2024-01-05,Customer_4,Corporate,North,Furniture,Product_4,53.73,5,0.25,9.12
ORD1005,2024-01-06,Customer_5,Corporate,North,Clothing,Product_5,377.69,3,0.24,29.4
ORD1006,2024-01-07,Customer_6,Home Office,Central,Office Supplies,Product_6,868.72,3,0.07,203.45
ORD1007,2024-01-08,Customer_7,Home Office,East,Furniture,Product_7,407.65,6,0.18,108.85
ORD1008,2024-01-09,Customer_8,Corporate,North,Clothing,Product_8,321.88,2,0.11,43.38
ORD1009,2024-01-10,Customer_9,Consumer,Central,Food,Product_9,433.07,9,0.12,37.59
ORD1010,2024-01-11,Customer_10,Corporate,West,Office Supplies,Product_10,588.76,8,0.28,46.31
ORD1011,2024-01-12,Customer_11,Consumer,Central,Food,Product_11,246.91,1,0.25,24.83
ORD1012,2024-01-13,Customer_12,Home Office,North,Office Supplies,Product_12,748.94,7,0.07,110.7
ORD1013,2024-01-14,Customer_13,Home Office,West,Electronics,Product_13,26.11,6,0.12,5.84
ORD1014,2024-01-15,Customer_14,Corporate,South,Office Supplies,Product_14,879.9,8,0.01,181.33
ORD1015,2024-01-16,Customer_15,Consumer,North,Food,Product_15,66.55,7,0.25,6.51
ORD1016,2024-01-17,Customer_16,Consumer,North,Food,Product_16,135.64,3,0.3,15.58
ORD1017,2024-01-18,Customer_17,Consumer,East,Food,Product_17,452.83,5,0.26,133.78
ORD1018,2024-01-19,Customer_18,Consumer,North,Electronics,Product_18,543.96,5,0.03,124.99
ORD1019,2024-01-20,Customer_19,Consumer,West,Office Supplies,Product_19,477.01,7,0.23,114.63
ORD1020,2024-01-21,Customer_20,Consumer,North,Furniture,Product_20,473.19,7,0.15,103.76
ORD1021,2024-01-22,Customer_21,Corporate,West,Office Supplies,Product_21,187.25,8,0.12,15.03
ORD1022,2024-01-23,Customer_22,Consumer,Central,Electronics,Product_22,232.4,6,0.29,43.03
ORD1023,2024-01-24,Customer_23,Home Office,East,Office Supplies,Product_23,590.16,5,0.18,141.34
ORD1024,2024-01-25,Customer_24,Consumer,East,Food,Product_24,512.52,5,0.29,52.1
ORD1025,2024-01-26,Customer_25,Home Office,Central,Electronics,Product_25,696.24,8,0.25,186.31
ORD1026,2024-01-27,Customer_26,Corporate,Central,Electronics,Product_26,330.68,7,0.11,17.1
ORD1027,2024-01-28,Customer_27,Consumer,East,Electronics,Product_27,196.82,1,0.09,50.5
ORD1028,2024-01-29,Customer_28,Consumer,West,Office Supplies,Product_28,717.85,6,0.21,198.8
ORD1029,2024-01-30,Customer_29,Home Office,Central,Office Supplies,Product_29,163.66,7,0.02,21.01
ORD1030,2024-01-31,Customer_30,Consumer,North,Clothing,Product_30,755.65,2,0.19,215.06
ORD1031,2024-02-01,Customer_31,Consumer,South,Office Supplies,Product_31,647.87,7,0.03,193.65
ORD1032,2024-02-02,Customer_32,Home Office,West,Office Supplies,Product_32,774.15,8,0.27,59.23
ORD1033,2024-02-03,Customer_33,Corporate,South,Office Supplies,Product_33,775.87,1,0.22,124.45
ORD1034,2024-02-04,Customer_34,Home Office,West,Furniture,Product_34,412.05,9,0.03,73.7
ORD1035,2024-02-05,Customer_35,Home Office,South,Clothing,Product_35,265.52,1,0.01,72.93
ORD1036,2024-02-06,Customer_36,Consumer,West,Furniture,Product_36,422.2,3,0.07,24.15
ORD1037,2024-02-07,Customer_37,Consumer,North,Food,Product_37,146.13,4,0.18,22.91
ORD1038,2024-02-08,Customer_38,Consumer,West,Office Supplies,Product_38,103.08,3,0.06,15.74
