subscriber_id,plan_id,plan_name,call_id,duration_minutes,data_mb,date,tower_id,cost
SUB1000,PLN0,Unlimited,CALL10000,32.01,652.21,2024-01-01,TWR100,6.22
SUB1001,PLN1,Basic,CALL10001,54.68,678.11,2024-01-02,TWR101,5.32
SUB1002,PLN2,Premium,CALL10002,59.5,545.94,2024-01-03,TWR102,9.64
SUB1003,PLN3,Premium,CALL10003,3.66,863.32,2024-01-04,TWR103,3.55
SUB1004,PLN0,Unlimited,CALL10004,21.27,1693.25,2024-01-05,TWR104,2.28
SUB1005,PLN1,Standard,CALL10005,28.5,33.64,2024-01-06,TWR105,1.42
SUB1006,PLN2,Premium,CALL10006,10.47,1167.08,2024-01-07,TWR106,4.24
SUB1007,PLN3,Unlimited,CALL10007,11.57,762.35,2024-01-08,TWR107,9.37
SUB1008,PLN0,Standard,CALL10008,33.47,1845.46,2024-01-09,TWR108,7.62
SUB1009,PLN1,Basic,CALL10009,33.75,1198.1,2024-01-10,TWR109,6.97
SUB1010,PLN2,Basic,CALL10010,34.47,98.72,2024-01-11,TWR110,4.07
SUB1011,PLN3,Premium,CALL10011,46.2,291.07,2024-01-12,TWR111,2.78
SUB1012,PLN0,Unlimited,CALL10012,6.36,1839.12,2024-01-13,TWR112,8.85
SUB1013,PLN1,Unlimited,CALL10013,47.01,1629.16,2024-01-14,TWR113,6.87
SUB1014,PLN2,Basic,CALL10014,6.73,382.97,2024-01-15,TWR114,0.63
SUB1015,PLN3,Premium,CALL10015,33.47,1704.77,2024-01-16,TWR115,8.7
SUB1016,PLN0,Premium,CALL10016,35.25,913.34,2024-01-17,TWR116,0.2
SUB1017,PLN1,Unlimited,CALL10017,22.93,1695.41,2024-01-18,TWR117,1.24
SUB1018,PLN2,Unlimited,CALL10018,52.1,805.87,2024-01-19,TWR118,0.45
SUB1019,PLN3,Unlimited,CALL10019,48.11,1391.59,2024-01-20,TWR119,7.38
SUB1020,PLN0,Premium,CALL10020,1.07,1511.77,2024-01-21,TWR120,7.61
SUB1021,PLN1,Standard,CALL10021,55.93,636.42,2024-01-22,TWR121,4.46
SUB1022,PLN2,Unlimited,CALL10022,11.46,1944.82,2024-01-23,TWR122,2.22
SUB1023,PLN3,Standard,CALL10023,4.62,52.27,2024-01-24,TWR123,4.27
SUB1024,PLN0,Basic,CALL10024,38.32,1025.82,2024-01-25,TWR124,7.71
SUB1025,PLN1,Premium,CALL10025,6.25,158.93,2024-01-26,TWR125,5.6
SUB1026,PLN2,Basic,CALL10026,45.32,1513.12,2024-01-27,TWR126,9.29
SUB1027,PLN3,Premium,CALL10027,17.4,1546.28,2024-01-28,TWR127,9.63
SUB1028,PLN0,Standard,CALL10028,24.45,1580.02,2024-01-29,TWR128,6.24
SUB1029,PLN1,Basic,CALL10029,53.26,536.59,2024-01-30,TWR129,5.93
SUB1030,PLN2,Standard,CALL10030,8.83,46.3,2024-01-31,TWR100,9.39
SUB1031,PLN3,Unlimited,CALL10031,21.39,1899.71,2024-02-01,TWR101,4.12
SUB1032,PLN0,Unlimited,CALL10032,27.37,19.94,2024-02-02,TWR102,3.83
SUB1033,PLN1,Unlimited,CALL10033,24.78,1247.88,2024-02-03,TWR103,3.43
SUB1034,PLN2,Standard,CALL10034,1.05,1066.33,2024-02-04,TWR104,9.81
SUB1035,PLN3,Premium,CALL10035,19.8,307.96,2024-02-05,TWR105,6.44
SUB1036,PLN0,Basic,CALL10036,19.03,637.55,2024-02-06,TWR106,2.2
SUB1037,PLN1,Basic,CALL10037,29.63,578.83,2024-02-07,TWR107,5.99
SUB1038,PLN2,Standard,CALL10038,45.41,139.9,2024-02-08,TWR108,4.53
SUB1039,PLN3,Unlimited,CALL10039,57.1,1615.38,2024-02-09,TWR109,5.41
SUB1040,PLN0,Basic,CALL10040,37.69,1499.47,2024-02-10,TWR110,9.1
SUB1041,PLN1,Standard,CALL10041,35.39,1976.86,2024-02-11,TWR111,0.89
SUB1042,PLN2,Standard,CALL10042,6.62,615.23,2024-02-12,TWR112,9.32
SUB1043,PLN3,Basic,CALL10043,19.93,16.99,2024-02-13,TWR113,9.98
SUB1044,PLN0,Standard,CALL10044,43.59,1034.01,2024-02-14,TWR114,3.33
SUB1045,PLN1,Basic,CALL10045,13.68,1484.79,2024-02-15,TWR115,5.81
SUB1046,PLN2,Premium,CALL10046,7.98,716.91,2024-02-16,TWR116,7.18
SUB1047,PLN3,Premium,CALL10047,18.12,1811.49,2024-02-17,TWR117,0.31
SUB1048,PLN0,Basic,CALL10048,32.41,796.7,2024-02-18,TWR118,9.17
SUB1049,PLN1,Unlimited,CALL10049,45.76,1652.2,2024-02-19,TWR119,0.5
SUB1050,PLN2,Premium,CALL10050,36.64,1258.71,2024-02-20,TWR120,6.53
SUB1051,PLN3,Unlimited,CALL10051,11.45,1229.82,2024-02-21,TWR121,9.19
SUB1052,PLN0,Premium,CALL10052,39.92,415.43,2024-02-22,TWR122,4.28
SUB1053,PLN1,Premium,CALL10053,50.98,1520.21,2024-02-23,TWR123,4.05
SUB1054,PLN2,Standard,CALL10054,26.52,1880.2,2024-02-24,TWR124,1.91
SUB1055,PLN3,Unlimited,CALL10055,1.44,1605.86,2024-02-25,TWR125,0.83
SUB1056,PLN0,Basic,CALL10056,47.32,956.31,2024-02-26,TWR126,0.2
SUB1057,PLN1,Unlimited,CALL10057,14.67,1200.29,2024-02-27,TWR127,6.12
SUB1058,PLN2,Unlimited,CALL10058,24.45,1037.73,2024-02-28,TWR128,2.38
SUB1059,PLN3,Standard,CALL10059,35.19,1065.64,2024-02-29,TWR129,1.78
SUB1060,PLN0,Standard,CALL10060,34.13,1131.02,2024-03-01,TWR100,4.22
SUB1061,PLN1,Basic,CALL10061,41.41,572.7,2024-03-02,TWR101,8.82
SUB1062,PLN2,Unlimited,CALL10062,51.41,1260.49,2024-03-03,TWR102,7.18
SUB1063,PLN3,Unlimited,CALL10063,11.56,1742.59,2024-03-04,TWR103,3.2
SUB1064,PLN0,Premium,CALL10064,30.84,822.14,2024-03-05,TWR104,9.87
SUB1065,PLN1,Standard,CALL10065,42.79,201.9,2024-03-06,TWR105,8.31
SUB1066,PLN2,Unlimited,CALL10066,2.75,482.25,2024-03-07,TWR106,5.68
SUB1067,PLN3,Unlimited,CALL10067,39.27,1515.77,2024-03-08,TWR107,6.92
SUB1068,PLN0,Standard,CALL10068,21.36,1051.19,2024-03-09,TWR108,6.02
SUB1069,PLN1,Premium,CALL10069,53.9,347.05,2024-03-10,TWR109,8.11
SUB1070,PLN2,Unlimited,CALL10070,23.85,1009.56,2024-03-11,TWR110,4.32
SUB1071,PLN3,Basic,CALL10071,39.07,1804.33,2024-03-12,TWR111,6.2
SUB1072,PLN0,Basic,CALL10072,29.94,1193.93,2024-03-13,TWR112,6.61
SUB1073,PLN1,Unlimited,CALL10073,26.99,498.7,2024-03-14,TWR113,4.8
SUB1074,PLN2,Premium,CALL10074,6.53,1285.92,2024-03-15,TWR114,5.73
SUB1075,PLN3,Premium,CALL10075,5.95,1170.92,2024-03-16,TWR115,8.07
SUB1076,PLN0,Standard,CALL10076,12.5,1933.46,2024-03-17,TWR116,5.06
SUB1077,PLN1,Standard,CALL10077,14.79,1628.69,2024-03-18,TWR117,9.83
SUB1078,PLN2,Standard,CALL10078,8.37,683.91,2024-03-19,TWR118,6.56
SUB1079,PLN3,Premium,CALL10079,3.44,15.63,2024-03-20,TWR119,3.01
SUB1080,PLN0,Basic,CALL10080,25.64,337.48,2024-03-21,TWR120,2.41
SUB1081,PLN1,Premium,CALL10081,26.21,905.39,2024-03-22,TWR121,6.24
SUB1082,PLN2,Premium,CALL10082,0.7,1332.46,2024-03-23,TWR122,4.98
SUB1083,PLN3,Premium,CALL10083,26.82,821.18,2024-03-24,TWR123,8.83
SUB1084,PLN0,Standard,CALL10084,21.97,84.64,2024-03-25,TWR124,2.51
SUB1085,PLN1,Standard,CALL10085,22.85,529.94,2024-03-26,TWR125,7.89
SUB1086,PLN2,Premium,CALL10086,33.5,1197.91,2024-03-27,TWR126,5.11
SUB1087,PLN3,Basic,CALL10087,59.22,1592.41,2024-03-28,TWR127,3.65
SUB1088,PLN0,Standard,CALL10088,44.97,1305.04,2024-03-29,TWR128,1.59
SUB1089,PLN1,Basic,CALL10089,3.68,455.85,2024-03-30,TWR129,8.85
SUB1090,PLN2,Premium,CALL10090,29.78,548.67,2024-03-31,TWR100,5.9
SUB1091,PLN3,Unlimited,CALL10091,5.54,318.52,2024-04-01,TWR101,1.74
SUB1092,PLN0,Premium,CALL10092,36.89,577.78,2024-04-02,TWR102,6.18
SUB1093,PLN1,Premium,CALL10093,46.67,1267.51,2024-04-03,TWR103,0.79
SUB1094,PLN2,Premium,CALL10094,11.05,796.17,2024-04-04,TWR104,1.83
SUB1095,PLN3,Unlimited,CALL10095,20.08,1931.59,2024-04-05,TWR105,7.73
SUB1096,PLN0,Premium,CALL10096,15.75,62.01,2024-04-06,TWR106,0.68
SUB1097,PLN1,Unlimited,CALL10097,28.04,950.09,2024-04-07,TWR107,4.51
SUB1098,PLN2,Standard,CALL10098,43.01,337.55,2024-04-08,TWR108,2.56
SUB1099,PLN3,Premium,CALL10099,0.53,42.67,2024-04-09,TWR109,7.87
SUB1100,PLN0,Premium,CALL10100,3.86,700.33,2024-04-10,TWR110,6.77
SUB1101,PLN1,Premium,CALL10101,4.98,691.09,2024-04-11,TWR111,2.98
SUB1102,PLN2,Premium,CALL10102,46.02,1080.11,2024-04-12,TWR112,9.53
SUB1103,PLN3,Premium,CALL10103,22.02,857.58,2024-04-13,TWR113,3.81
SUB1104,PLN0,Standard,CALL10104,31.13,1044.27,2024-04-14,TWR114,8.51
SUB1105,PLN1,Standard,CALL10105,48.25,935.86,2024-04-15,TWR115,7.21
SUB1106,PLN2,Standard,CALL10106,38.87,1434.78,2024-04-16,TWR116,6.68
SUB1107,PLN3,Unlimited,CALL10107,56.42,1370.43,2024-04-17,TWR117,9.82
SUB1108,PLN0,Unlimited,CALL10108,42.81,1737.76,2024-04-18,TWR118,9.35
SUB1109,PLN1,Premium,CALL10109,35.09,563.08,2024-04-19,TWR119,1.37
SUB1110,PLN2,Basic,CALL10110,49.62,255.69,2024-04-20,TWR120,7.21
SUB1111,PLN3,Premium,CALL10111,57.08,238.12,2024-04-21,TWR121,1.0
SUB1112,PLN0,Basic,CALL10112,7.93,1264.58,2024-04-22,TWR122,2.53
SUB1113,PLN1,Unlimited,CALL10113,5.6,342.77,2024-04-23,TWR123,8.1
SUB1114,PLN2,Unlimited,CALL10114,52.33,1791.83,2024-04-24,TWR124,6.9
SUB1115,PLN3,Standard,CALL10115,4.22,721.41,2024-04-25,TWR125,2.81
SUB1116,PLN0,Unlimited,CALL10116,9.01,1662.39,2024-04-26,TWR126,6.75
SUB1117,PLN1,Standard,CALL10117,19.22,345.06,2024-04-27,TWR127,8.17
SUB1118,PLN2,Basic,CALL10118,38.66,105.88,2024-04-28,TWR128,1.02
SUB1119,PLN3,Standard,CALL10119,6.54,1572.05,2024-04-29,TWR129,2.21
SUB1120,PLN0,Basic,CALL10120,51.31,1931.64,2024-04-30,TWR100,4.09
SUB1121,PLN1,Basic,CALL10121,29.48,1082.23,2024-05-01,TWR101,0.23
SUB1122,PLN2,Basic,CALL10122,47.99,1265.27,2024-05-02,TWR102,9.17
SUB1123,PLN3,Premium,CALL10123,56.4,1211.7,2024-05-03,TWR103,7.52
SUB1124,PLN0,Premium,CALL10124,39.62,647.47,2024-05-04,TWR104,1.11
SUB1125,PLN1,Standard,CALL10125,42.21,1198.86,2024-05-05,TWR105,0.83
SUB1126,PLN2,Premium,CALL10126,33.39,658.13,2024-05-06,TWR106,3.36
SUB1127,PLN3,Unlimited,CALL10127,57.29,1227.96,2024-05-07,TWR107,9.42
SUB1128,PLN0,Basic,CALL10128,19.65,42.35,2024-05-08,TWR108,3.23
SUB1129,PLN1,Standard,CALL10129,48.57,346.02,2024-05-09,TWR109,0.98
SUB1130,PLN2,Basic,CALL10130,10.91,1842.64,2024-05-10,TWR110,5.98
SUB1131,PLN3,Basic,CALL10131,24.0,507.08,2024-05-11,TWR111,3.83
SUB1132,PLN0,Basic,CALL10132,16.08,756.77,2024-05-12,TWR112,7.75
SUB1133,PLN1,Standard,CALL10133,32.08,229.49,2024-05-13,TWR113,9.61
SUB1134,PLN2,Standard,CALL10134,41.15,1000.62,2024-05-14,TWR114,2.66
SUB1135,PLN3,Standard,CALL10135,50.39,1001.13,2024-05-15,TWR115,7.76
SUB1136,PLN0,Basic,CALL10136,37.67,304.91,2024-05-16,TWR116,2.48
SUB1137,PLN1,Basic,CALL10137,30.42,1948.31,2024-05-17,TWR117,2.28
SUB1138,PLN2,Unlimited,CALL10138,56.42,1585.21,2024-05-18,TWR118,1.67
SUB1139,PLN3,Premium,CALL10139,47.4,965.9,2024-05-19,TWR119,7.19
SUB1140,PLN0,Standard,CALL10140,32.59,1198.74,2024-05-20,TWR120,1.4
SUB1141,PLN1,Standard,CALL10141,33.57,1386.21,2024-05-21,TWR121,2.17
SUB1142,PLN2,Basic,CALL10142,54.5,1609.14,2024-05-22,TWR122,5.01
SUB1143,PLN3,Premium,CALL10143,4.59,1831.3,2024-05-23,TWR123,1.08
SUB1144,PLN0,Standard,CALL10144,34.77,528.1,2024-05-24,TWR124,8.66
SUB1145,PLN1,Basic,CALL10145,22.71,1287.77,2024-05-25,TWR125,8.3
SUB1146,PLN2,Basic,CALL10146,15.8,836.48,2024-05-26,TWR126,3.07
SUB1147,PLN3,Unlimited,CALL10147,18.03,1168.69,2024-05-27,TWR127,4.93
