farm_id,farm_name,crop,harvest,livestock,rainfall,temperature,fertilizer,date
1,Farm-001,Soybean,32562,176,1153,39.2,Compost,2024-01-01
2,Farm-002,Rice,25978,126,1467,33.9,Compost,2024-01-02
3,Farm-003,Cotton,4628,60,283,39.9,Urea,2024-01-03
4,Farm-004,Maize,35925,131,948,31.7,Urea,2024-01-04
5,Farm-005,Wheat,42666,387,950,35.0,NPK,2024-01-05
6,Farm-006,Maize,20667,221,558,33.2,NPK,2024-01-06
7,Farm-007,Rice,33247,455,1527,38.1,NPK,2024-01-07
8,Farm-008,Cotton,35492,112,1344,23.5,Urea,2024-01-08
9,Farm-009,Rice,29945,202,1643,17.8,Urea,2024-01-09
10,Farm-010,Soybean,1575,466,337,27.0,Compost,2024-01-10
11,Farm-011,Soybean,2927,122,1348,16.0,Urea,2024-01-11
12,Farm-012,Soybean,22735,47,1652,32.0,NPK,2024-01-12
13,Farm-013,Rice,4173,251,1784,17.9,NPK,2024-01-13
14,Farm-014,Soybean,22632,309,619,15.6,Urea,2024-01-14
15,Farm-015,Rice,47752,258,483,30.4,DAP,2024-01-15
16,Farm-016,Rice,3305,37,885,20.5,Compost,2024-01-16
17,Farm-017,Cotton,27075,465,688,23.9,Urea,2024-01-17
18,Farm-018,Wheat,8245,233,1305,23.2,DAP,2024-01-18
19,Farm-019,Maize,14372,84,432,30.2,NPK,2024-01-19
20,Farm-020,Wheat,43350,120,1529,19.9,Urea,2024-01-20
21,Farm-021,Maize,44233,485,1179,28.2,Compost,2024-01-21
22,Farm-022,Maize,34783,322,1710,34.5,DAP,2024-01-22
23,Farm-023,Rice,30539,242,1740,34.2,DAP,2024-01-23
24,Farm-024,Soybean,44938,101,1388,19.9,Urea,2024-01-24
25,Farm-025,Soybean,35664,208,1984,17.1,Urea,2024-01-25
26,Farm-026,Soybean,10261,201,1639,36.2,DAP,2024-01-26
27,Farm-027,Wheat,49065,79,629,31.9,NPK,2024-01-27
28,Farm-028,Soybean,38468,244,1742,38.9,Compost,2024-01-28
29,Farm-029,Cotton,15768,378,1725,39.4,NPK,2024-01-29
30,Farm-030,Rice,5220,109,1758,24.9,DAP,2024-01-30
31,Farm-031,Soybean,2916,333,661,27.3,NPK,2024-01-31
32,Farm-032,Soybean,48699,193,856,30.1,Urea,2024-02-01
33,Farm-033,Soybean,9779,148,922,27.8,DAP,2024-02-02
34,Farm-034,Wheat,32540,113,747,16.4,Compost,2024-02-03
35,Farm-035,Rice,43349,181,1231,31.7,Compost,2024-02-04
36,Farm-036,Cotton,1749,75,1593,24.9,NPK,2024-02-05
37,Farm-037,Soybean,31381,26,1066,32.9,NPK,2024-02-06
38,Farm-038,Maize,41025,364,767,25.7,Compost,2024-02-07
39,Farm-039,Wheat,3501,301,311,24.7,DAP,2024-02-08
40,Farm-040,Soybean,16404,40,329,15.3,NPK,2024-02-09
41,Farm-041,Soybean,46460,153,963,23.6,DAP,2024-02-10
42,Farm-042,Wheat,43018,79,907,22.7,Compost,2024-02-11
43,Farm-043,Cotton,9054,66,1126,26.1,DAP,2024-02-12
44,Farm-044,Maize,1441,446,1195,29.0,Compost,2024-02-13
45,Farm-045,Maize,11788,248,1226,20.4,DAP,2024-02-14
46,Farm-046,Cotton,41962,244,1278,37.2,Urea,2024-02-15
47,Farm-047,Wheat,3774,224,1898,33.5,DAP,2024-02-16
48,Farm-048,Soybean,20641,97,451,25.4,Compost,2024-02-17
49,Farm-049,Cotton,6876,399,1162,26.1,DAP,2024-02-18
50,Farm-050,Wheat,30396,185,1653,19.1,Urea,2024-02-19
51,Farm-051,Wheat,40557,122,1289,33.2,NPK,2024-02-20
52,Farm-052,Wheat,11686,463,1589,37.4,DAP,2024-02-21
53,Farm-053,Wheat,39234,161,1890,33.2,Compost,2024-02-22
54,Farm-054,Maize,4691,319,1291,25.4,Urea,2024-02-23
55,Farm-055,Wheat,7468,90,798,35.9,NPK,2024-02-24
56,Farm-056,Cotton,7982,414,1125,29.9,DAP,2024-02-25
57,Farm-057,Soybean,33080,416,1471,18.6,NPK,2024-02-26
58,Farm-058,Soybean,39492,336,953,22.6,DAP,2024-02-27
59,Farm-059,Rice,40845,497,1838,39.7,DAP,2024-02-28
60,Farm-060,Cotton,14955,323,1578,28.1,NPK,2024-02-29
61,Farm-061,Rice,4635,473,1619,23.4,NPK,2024-03-01
62,Farm-062,Cotton,13780,97,1856,38.3,Urea,2024-03-02
63,Farm-063,Wheat,28432,305,334,29.8,DAP,2024-03-03
64,Farm-064,Rice,22608,293,585,24.4,DAP,2024-03-04
65,Farm-065,Wheat,48860,447,1137,15.2,NPK,2024-03-05
66,Farm-066,Cotton,44959,127,378,31.0,Urea,2024-03-06
67,Farm-067,Maize,26846,54,364,21.8,NPK,2024-03-07
68,Farm-068,Maize,21749,220,1000,19.4,Compost,2024-03-08
69,Farm-069,Maize,8416,448,566,26.6,Urea,2024-03-09
70,Farm-070,Maize,45332,277,790,29.2,Compost,2024-03-10
71,Farm-071,Soybean,38246,260,357,37.9,Urea,2024-03-11
72,Farm-072,Maize,36275,451,423,20.0,DAP,2024-03-12
73,Farm-073,Cotton,9500,120,537,35.8,NPK,2024-03-13
74,Farm-074,Maize,21575,312,765,22.2,Urea,2024-03-14
75,Farm-075,Soybean,14474,252,429,27.3,DAP,2024-03-15
76,Farm-076,Wheat,3487,438,1627,35.6,DAP,2024-03-16
77,Farm-077,Rice,39368,246,503,22.5,Compost,2024-03-17
78,Farm-078,Wheat,11867,152,1216,29.6,Compost,2024-03-18
79,Farm-079,Wheat,22487,17,508,27.4,DAP,2024-03-19
80,Farm-080,Rice,4643,383,1991,33.5,Compost,2024-03-20
81,Farm-081,Maize,8413,229,618,20.6,DAP,2024-03-21
82,Farm-082,Maize,18449,386,1266,34.8,DAP,2024-03-22
83,Farm-083,Cotton,9756,456,1484,18.9,DAP,2024-03-23
84,Farm-084,Maize,27707,136,246,22.5,Compost,2024-03-24
85,Farm-085,Maize,11513,136,800,31.0,Urea,2024-03-25
86,Farm-086,Cotton,46132,177,1053,30.9,DAP,2024-03-26
87,Farm-087,Rice,24743,232,1597,18.1,NPK,2024-03-27
88,Farm-088,Cotton,36768,306,1308,31.6,NPK,2024-03-28
89,Farm-089,Maize,11313,123,470,22.2,Compost,2024-03-29
90,Farm-090,Maize,29248,466,1170,19.5,DAP,2024-03-30
91,Farm-091,Maize,16467,484,910,37.7,DAP,2024-03-31
92,Farm-092,Cotton,38641,312,1060,31.1,Urea,2024-04-01
93,Farm-093,Rice,3167,494,1109,15.7,Urea,2024-04-02
94,Farm-094,Soybean,9240,86,1710,34.1,NPK,2024-04-03
95,Farm-095,Cotton,7051,477,1520,27.3,NPK,2024-04-04
96,Farm-096,Rice,41931,303,243,39.3,NPK,2024-04-05
97,Farm-097,Maize,40636,469,797,30.0,NPK,2024-04-06
98,Farm-098,Rice,25150,12,587,24.0,DAP,2024-04-07
99,Farm-099,Wheat,10838,223,328,27.0,NPK,2024-04-08
100,Farm-100,Wheat,1524,32,245,25.9,Urea,2024-04-09
101,Farm-101,Soybean,32413,30,1985,21.4,DAP,2024-04-10
102,Farm-102,Maize,5790,250,1842,32.1,Compost,2024-04-11
103,Farm-103,Soybean,916,385,675,39.4,Urea,2024-04-12
104,Farm-104,Wheat,973,403,1909,35.5,Compost,2024-04-13
105,Farm-105,Soybean,12258,268,1264,24.3,NPK,2024-04-14
106,Farm-106,Wheat,6341,27,1520,33.3,NPK,2024-04-15
107,Farm-107,Wheat,46816,227,887,15.4,DAP,2024-04-16
108,Farm-108,Rice,43213,281,1043,21.5,DAP,2024-04-17
109,Farm-109,Maize,39410,211,1385,29.5,Urea,2024-04-18
110,Farm-110,Wheat,19094,255,902,18.7,Compost,2024-04-19
111,Farm-111,Maize,27777,424,1542,26.5,DAP,2024-04-20
112,Farm-112,Soybean,45949,418,1523,32.3,DAP,2024-04-21
113,Farm-113,Soybean,31695,366,1811,23.9,Compost,2024-04-22
114,Farm-114,Wheat,45874,430,868,16.3,Compost,2024-04-23
115,Farm-115,Maize,8816,60,1195,24.0,NPK,2024-04-24
116,Farm-116,Wheat,14010,241,1415,30.9,NPK,2024-04-25
117,Farm-117,Wheat,9877,263,1563,38.9,DAP,2024-04-26
118,Farm-118,Rice,42431,133,1627,16.2,NPK,2024-04-27
119,Farm-119,Soybean,18256,52,1285,22.3,DAP,2024-04-28
120,Farm-120,Maize,34781,295,1924,31.0,DAP,2024-04-29
121,Farm-121,Soybean,30018,395,1323,16.9,Compost,2024-04-30
122,Farm-122,Rice,27502,16,1111,19.8,DAP,2024-05-01
123,Farm-123,Cotton,16179,364,1137,30.7,DAP,2024-05-02
124,Farm-124,Soybean,11939,384,822,34.1,DAP,2024-05-03
125,Farm-125,Rice,40512,218,1361,30.0,NPK,2024-05-04
126,Farm-126,Soybean,45829,496,470,19.2,NPK,2024-05-05
127,Farm-127,Maize,2965,121,1816,23.1,Urea,2024-05-06
128,Farm-128,Rice,39577,77,827,22.9,Compost,2024-05-07
129,Farm-129,Cotton,12296,193,551,36.1,Urea,2024-05-08
130,Farm-130,Soybean,47502,161,1816,35.0,DAP,2024-05-09
131,Farm-131,Rice,33260,132,732,21.8,DAP,2024-05-10
132,Farm-132,Cotton,40611,341,664,32.4,Urea,2024-05-11
133,Farm-133,Maize,6268,56,1191,24.1,Compost,2024-05-12
134,Farm-134,Soybean,41603,18,961,28.4,DAP,2024-05-13
135,Farm-135,Wheat,20239,255,790,23.8,DAP,2024-05-14
136,Farm-136,Maize,23296,352,1776,18.6,NPK,2024-05-15
137,Farm-137,Maize,27945,166,1931,18.4,DAP,2024-05-16
138,Farm-138,Maize,799,92,296,22.0,DAP,2024-05-17
139,Farm-139,Maize,37050,370,503,34.5,DAP,2024-05-18
140,Farm-140,Cotton,15942,245,923,25.3,Urea,2024-05-19
141,Farm-141,Wheat,13076,449,782,38.0,NPK,2024-05-20
