project_id,project_name,department,budget,procurement,citizen,revenue,asset,date
1,Gov Project 001,Agriculture,2898615,Tender-0001,Citizen 00001,189591,Asset-0001,2024-01-01
2,Gov Project 002,Works,2628019,Tender-0002,Citizen 00002,1801397,Asset-0002,2024-01-02
3,Gov Project 003,Health,1091549,Tender-0003,Citizen 00003,1050338,Asset-0003,2024-01-03
4,Gov Project 004,Health,871579,Tender-0004,Citizen 00004,942569,Asset-0004,2024-01-04
5,Gov Project 005,Health,3227454,Tender-0005,Citizen 00005,667829,Asset-0005,2024-01-05
6,Gov Project 006,Works,4232292,Tender-0006,Citizen 00006,253946,Asset-0006,2024-01-06
7,Gov Project 007,Health,4948127,Tender-0007,Citizen 00007,1048067,Asset-0007,2024-01-07
8,Gov Project 008,Works,2577879,Tender-0008,Citizen 00008,1567879,Asset-0008,2024-01-08
9,Gov Project 009,Defense,1411066,Tender-0009,Citizen 00009,1375222,Asset-0009,2024-01-09
10,Gov Project 010,Works,557667,Tender-0010,Citizen 00010,42264,Asset-0010,2024-01-10
11,Gov Project 011,Education,393513,Tender-0011,Citizen 00011,220258,Asset-0011,2024-01-11
12,Gov Project 012,Health,2511501,Tender-0012,Citizen 00012,851074,Asset-0012,2024-01-12
13,Gov Project 013,Education,2449640,Tender-0013,Citizen 00013,869736,Asset-0013,2024-01-13
14,Gov Project 014,Education,3834587,Tender-0014,Citizen 00014,80145,Asset-0014,2024-01-14
15,Gov Project 015,Defense,4374495,Tender-0015,Citizen 00015,1173388,Asset-0015,2024-01-15
16,Gov Project 016,Agriculture,4406617,Tender-0016,Citizen 00016,1156543,Asset-0016,2024-01-16
17,Gov Project 017,Defense,2843966,Tender-0017,Citizen 00017,5355,Asset-0017,2024-01-17
18,Gov Project 018,Works,3647847,Tender-0018,Citizen 00018,1737056,Asset-0018,2024-01-18
19,Gov Project 019,Works,1132307,Tender-0019,Citizen 00019,195621,Asset-0019,2024-01-19
20,Gov Project 020,Health,2885051,Tender-0020,Citizen 00020,1665489,Asset-0020,2024-01-20
21,Gov Project 021,Education,4121916,Tender-0021,Citizen 00021,1272106,Asset-0021,2024-01-21
22,Gov Project 022,Defense,3023614,Tender-0022,Citizen 00022,1303275,Asset-0022,2024-01-22
23,Gov Project 023,Agriculture,1590632,Tender-0023,Citizen 00023,1342014,Asset-0023,2024-01-23
24,Gov Project 024,Defense,1393143,Tender-0024,Citizen 00024,643788,Asset-0024,2024-01-24
25,Gov Project 025,Health,3393894,Tender-0025,Citizen 00025,1871697,Asset-0025,2024-01-25
26,Gov Project 026,Defense,170429,Tender-0026,Citizen 00026,1071061,Asset-0026,2024-01-26
27,Gov Project 027,Agriculture,1926111,Tender-0027,Citizen 00027,1184296,Asset-0027,2024-01-27
28,Gov Project 028,Agriculture,1891743,Tender-0028,Citizen 00028,438798,Asset-0028,2024-01-28
29,Gov Project 029,Education,1110633,Tender-0029,Citizen 00029,1377787,Asset-0029,2024-01-29
30,Gov Project 030,Education,1781592,Tender-0030,Citizen 00030,1413183,Asset-0030,2024-01-30
31,Gov Project 031,Health,193821,Tender-0031,Citizen 00031,961737,Asset-0031,2024-01-31
32,Gov Project 032,Education,4956702,Tender-0032,Citizen 00032,1998039,Asset-0032,2024-02-01
33,Gov Project 033,Works,4243173,Tender-0033,Citizen 00033,719823,Asset-0033,2024-02-02
34,Gov Project 034,Education,1427546,Tender-0034,Citizen 00034,766984,Asset-0034,2024-02-03
35,Gov Project 035,Works,1043157,Tender-0035,Citizen 00035,1735802,Asset-0035,2024-02-04
36,Gov Project 036,Defense,3085191,Tender-0036,Citizen 00036,118823,Asset-0036,2024-02-05
37,Gov Project 037,Works,323427,Tender-0037,Citizen 00037,1717510,Asset-0037,2024-02-06
38,Gov Project 038,Health,3157342,Tender-0038,Citizen 00038,472493,Asset-0038,2024-02-07
39,Gov Project 039,Agriculture,2155715,Tender-0039,Citizen 00039,1775662,Asset-0039,2024-02-08
40,Gov Project 040,Health,4495669,Tender-0040,Citizen 00040,958071,Asset-0040,2024-02-09
41,Gov Project 041,Health,417576,Tender-0041,Citizen 00041,701197,Asset-0041,2024-02-10
42,Gov Project 042,Health,4992196,Tender-0042,Citizen 00042,1179721,Asset-0042,2024-02-11
43,Gov Project 043,Health,412320,Tender-0043,Citizen 00043,1614388,Asset-0043,2024-02-12
44,Gov Project 044,Education,916921,Tender-0044,Citizen 00044,1304726,Asset-0044,2024-02-13
45,Gov Project 045,Defense,175605,Tender-0045,Citizen 00045,1263188,Asset-0045,2024-02-14
46,Gov Project 046,Agriculture,414624,Tender-0046,Citizen 00046,997233,Asset-0046,2024-02-15
47,Gov Project 047,Works,981315,Tender-0047,Citizen 00047,1507940,Asset-0047,2024-02-16
48,Gov Project 048,Works,3506166,Tender-0048,Citizen 00048,1383179,Asset-0048,2024-02-17
49,Gov Project 049,Defense,3737178,Tender-0049,Citizen 00049,766883,Asset-0049,2024-02-18
50,Gov Project 050,Health,3199799,Tender-0050,Citizen 00050,1506379,Asset-0050,2024-02-19
51,Gov Project 051,Health,1046790,Tender-0051,Citizen 00051,954029,Asset-0051,2024-02-20
52,Gov Project 052,Agriculture,4600937,Tender-0052,Citizen 00052,244124,Asset-0052,2024-02-21
53,Gov Project 053,Works,2130122,Tender-0053,Citizen 00053,209340,Asset-0053,2024-02-22
54,Gov Project 054,Health,3989524,Tender-0054,Citizen 00054,1597409,Asset-0054,2024-02-23
55,Gov Project 055,Education,1294523,Tender-0055,Citizen 00055,1386834,Asset-0055,2024-02-24
56,Gov Project 056,Agriculture,1733816,Tender-0056,Citizen 00056,470037,Asset-0056,2024-02-25
57,Gov Project 057,Education,88052,Tender-0057,Citizen 00057,9607,Asset-0057,2024-02-26
