reservation_id,guest,room,booking,service,amount,nights,date
1,Guest 001,Presidential,Booking-0001,Minibar,1320,8,2024-01-01
2,Guest 002,Presidential,Booking-0002,Spa,2764,6,2024-01-02
3,Guest 003,Suite,Booking-0003,Laundry,831,4,2024-01-03
4,Guest 004,Deluxe,Booking-0004,Restaurant,3455,8,2024-01-04
5,Guest 005,Suite,Booking-0005,Spa,3272,1,2024-01-05
6,Guest 006,Single,Booking-0006,Room Service,2007,4,2024-01-06
7,Guest 007,Double,Booking-0007,Spa,3339,12,2024-01-07
8,Guest 008,Double,Booking-0008,Spa,2877,1,2024-01-08
9,Guest 009,Single,Booking-0009,Minibar,4531,13,2024-01-09
10,Guest 010,Double,Booking-0010,Minibar,475,5,2024-01-10
11,Guest 011,Single,Booking-0011,Laundry,3729,11,2024-01-11
12,Guest 012,Single,Booking-0012,Restaurant,2372,12,2024-01-12
13,Guest 013,Double,Booking-0013,Laundry,825,6,2024-01-13
14,Guest 014,Single,Booking-0014,Spa,1456,4,2024-01-14
15,Guest 015,Double,Booking-0015,Laundry,303,2,2024-01-15
16,Guest 016,Deluxe,Booking-0016,Spa,4785,14,2024-01-16
17,Guest 017,Double,Booking-0017,Restaurant,2630,10,2024-01-17
18,Guest 018,Double,Booking-0018,Room Service,4696,11,2024-01-18
19,Guest 019,Deluxe,Booking-0019,Spa,1114,5,2024-01-19
20,Guest 020,Presidential,Booking-0020,Room Service,4682,13,2024-01-20
21,Guest 021,Double,Booking-0021,Minibar,797,12,2024-01-21
22,Guest 022,Single,Booking-0022,Laundry,1676,4,2024-01-22
23,Guest 023,Suite,Booking-0023,Laundry,4538,4,2024-01-23
24,Guest 024,Deluxe,Booking-0024,Room Service,4825,8,2024-01-24
25,Guest 025,Double,Booking-0025,Minibar,533,6,2024-01-25
26,Guest 026,Deluxe,Booking-0026,Minibar,4771,1,2024-01-26
27,Guest 027,Deluxe,Booking-0027,Minibar,4374,5,2024-01-27
28,Guest 028,Single,Booking-0028,Spa,1651,8,2024-01-28
29,Guest 029,Single,Booking-0029,Minibar,3998,12,2024-01-29
30,Guest 030,Double,Booking-0030,Room Service,4217,12,2024-01-30
31,Guest 031,Double,Booking-0031,Room Service,252,10,2024-01-31
32,Guest 032,Deluxe,Booking-0032,Restaurant,1085,4,2024-02-01
33,Guest 033,Deluxe,Booking-0033,Laundry,4456,1,2024-02-02
34,Guest 034,Deluxe,Booking-0034,Laundry,1572,4,2024-02-03
35,Guest 035,Single,Booking-0035,Restaurant,255,14,2024-02-04
36,Guest 036,Deluxe,Booking-0036,Room Service,2352,11,2024-02-05
37,Guest 037,Presidential,Booking-0037,Room Service,1785,7,2024-02-06
38,Guest 038,Double,Booking-0038,Room Service,2109,2,2024-02-07
39,Guest 039,Double,Booking-0039,Laundry,4847,14,2024-02-08
40,Guest 040,Suite,Booking-0040,Minibar,3739,5,2024-02-09
41,Guest 041,Presidential,Booking-0041,Laundry,793,10,2024-02-10
42,Guest 042,Deluxe,Booking-0042,Restaurant,4470,9,2024-02-11
43,Guest 043,Single,Booking-0043,Minibar,2724,8,2024-02-12
44,Guest 044,Suite,Booking-0044,Spa,3391,3,2024-02-13
45,Guest 045,Single,Booking-0045,Spa,4924,9,2024-02-14
46,Guest 046,Single,Booking-0046,Room Service,468,4,2024-02-15
47,Guest 047,Deluxe,Booking-0047,Minibar,4126,11,2024-02-16
48,Guest 048,Deluxe,Booking-0048,Laundry,290,12,2024-02-17
49,Guest 049,Deluxe,Booking-0049,Restaurant,2884,10,2024-02-18
50,Guest 050,Presidential,Booking-0050,Room Service,3680,11,2024-02-19
51,Guest 051,Presidential,Booking-0051,Room Service,1578,11,2024-02-20
52,Guest 052,Presidential,Booking-0052,Minibar,3499,10,2024-02-21
53,Guest 053,Suite,Booking-0053,Restaurant,297,10,2024-02-22
54,Guest 054,Single,Booking-0054,Spa,4424,3,2024-02-23
55,Guest 055,Deluxe,Booking-0055,Room Service,2699,2,2024-02-24
56,Guest 056,Deluxe,Booking-0056,Room Service,3229,10,2024-02-25
57,Guest 057,Deluxe,Booking-0057,Minibar,2206,3,2024-02-26
58,Guest 058,Presidential,Booking-0058,Room Service,845,12,2024-02-27
59,Guest 059,Presidential,Booking-0059,Minibar,1039,2,2024-02-28
60,Guest 060,Presidential,Booking-0060,Restaurant,913,3,2024-02-29
61,Guest 061,Deluxe,Booking-0061,Spa,4538,5,2024-03-01
62,Guest 062,Double,Booking-0062,Spa,1477,10,2024-03-02
63,Guest 063,Single,Booking-0063,Room Service,2437,14,2024-03-03
64,Guest 064,Presidential,Booking-0064,Room Service,1279,4,2024-03-04
65,Guest 065,Single,Booking-0065,Minibar,1596,9,2024-03-05
66,Guest 066,Deluxe,Booking-0066,Restaurant,2193,12,2024-03-06
67,Guest 067,Presidential,Booking-0067,Minibar,834,13,2024-03-07
68,Guest 068,Suite,Booking-0068,Laundry,1363,5,2024-03-08
69,Guest 069,Presidential,Booking-0069,Room Service,2613,4,2024-03-09
70,Guest 070,Single,Booking-0070,Spa,3436,14,2024-03-10
71,Guest 071,Suite,Booking-0071,Spa,1486,11,2024-03-11
72,Guest 072,Deluxe,Booking-0072,Minibar,582,1,2024-03-12
73,Guest 073,Deluxe,Booking-0073,Minibar,2764,12,2024-03-13
74,Guest 074,Single,Booking-0074,Room Service,1586,11,2024-03-14
75,Guest 075,Deluxe,Booking-0075,Minibar,322,9,2024-03-15
76,Guest 076,Presidential,Booking-0076,Spa,579,10,2024-03-16
77,Guest 077,Suite,Booking-0077,Spa,2541,5,2024-03-17
78,Guest 078,Deluxe,Booking-0078,Spa,3294,11,2024-03-18
79,Guest 079,Deluxe,Booking-0079,Laundry,908,9,2024-03-19
80,Guest 080,Single,Booking-0080,Minibar,2721,8,2024-03-20
81,Guest 081,Double,Booking-0081,Room Service,1267,1,2024-03-21
82,Guest 082,Suite,Booking-0082,Spa,3481,7,2024-03-22
83,Guest 083,Double,Booking-0083,Laundry,2755,11,2024-03-23
84,Guest 084,Deluxe,Booking-0084,Minibar,2212,11,2024-03-24
85,Guest 085,Suite,Booking-0085,Restaurant,3176,11,2024-03-25
86,Guest 086,Deluxe,Booking-0086,Room Service,1090,1,2024-03-26
87,Guest 087,Double,Booking-0087,Room Service,524,14,2024-03-27
88,Guest 088,Presidential,Booking-0088,Room Service,1759,6,2024-03-28
89,Guest 089,Double,Booking-0089,Room Service,2062,7,2024-03-29
90,Guest 090,Presidential,Booking-0090,Restaurant,4990,14,2024-03-30
91,Guest 091,Suite,Booking-0091,Minibar,4900,7,2024-03-31
92,Guest 092,Presidential,Booking-0092,Minibar,2037,5,2024-04-01
93,Guest 093,Deluxe,Booking-0093,Minibar,4138,2,2024-04-02
94,Guest 094,Double,Booking-0094,Room Service,4266,11,2024-04-03
95,Guest 095,Suite,Booking-0095,Restaurant,4232,9,2024-04-04
96,Guest 096,Deluxe,Booking-0096,Laundry,3254,8,2024-04-05
97,Guest 097,Deluxe,Booking-0097,Room Service,1042,8,2024-04-06
98,Guest 098,Suite,Booking-0098,Restaurant,2306,6,2024-04-07
99,Guest 099,Deluxe,Booking-0099,Spa,596,9,2024-04-08
100,Guest 100,Double,Booking-0100,Minibar,2707,13,2024-04-09
101,Guest 101,Presidential,Booking-0101,Room Service,3907,1,2024-04-10
102,Guest 102,Double,Booking-0102,Room Service,4631,12,2024-04-11
103,Guest 103,Suite,Booking-0103,Restaurant,3434,4,2024-04-12
104,Guest 104,Single,Booking-0104,Minibar,636,1,2024-04-13
105,Guest 105,Deluxe,Booking-0105,Laundry,4066,5,2024-04-14
106,Guest 106,Double,Booking-0106,Spa,336,7,2024-04-15
107,Guest 107,Double,Booking-0107,Restaurant,3438,9,2024-04-16
108,Guest 108,Double,Booking-0108,Laundry,2014,8,2024-04-17
109,Guest 109,Double,Booking-0109,Laundry,252,6,2024-04-18
110,Guest 110,Presidential,Booking-0110,Spa,2304,1,2024-04-19
111,Guest 111,Deluxe,Booking-0111,Spa,4638,7,2024-04-20
112,Guest 112,Single,Booking-0112,Spa,4901,4,2024-04-21
113,Guest 113,Deluxe,Booking-0113,Laundry,931,6,2024-04-22
114,Guest 114,Deluxe,Booking-0114,Restaurant,2117,2,2024-04-23
115,Guest 115,Suite,Booking-0115,Laundry,4644,10,2024-04-24
116,Guest 116,Double,Booking-0116,Restaurant,1128,13,2024-04-25
117,Guest 117,Double,Booking-0117,Laundry,2595,1,2024-04-26
118,Guest 118,Presidential,Booking-0118,Spa,4755,12,2024-04-27
119,Guest 119,Single,Booking-0119,Minibar,3432,4,2024-04-28
120,Guest 120,Single,Booking-0120,Room Service,3753,12,2024-04-29
121,Guest 121,Suite,Booking-0121,Laundry,787,7,2024-04-30
122,Guest 122,Suite,Booking-0122,Room Service,4199,2,2024-05-01
123,Guest 123,Suite,Booking-0123,Room Service,1766,4,2024-05-02
124,Guest 124,Double,Booking-0124,Room Service,1266,4,2024-05-03
125,Guest 125,Double,Booking-0125,Laundry,3158,3,2024-05-04
126,Guest 126,Presidential,Booking-0126,Minibar,4527,6,2024-05-05
127,Guest 127,Single,Booking-0127,Room Service,1477,5,2024-05-06
128,Guest 128,Single,Booking-0128,Laundry,2108,2,2024-05-07
129,Guest 129,Suite,Booking-0129,Laundry,4503,11,2024-05-08
130,Guest 130,Deluxe,Booking-0130,Laundry,3571,11,2024-05-09
131,Guest 131,Single,Booking-0131,Laundry,4647,2,2024-05-10
132,Guest 132,Presidential,Booking-0132,Laundry,3800,1,2024-05-11
133,Guest 133,Double,Booking-0133,Restaurant,442,8,2024-05-12
134,Guest 134,Single,Booking-0134,Restaurant,108,7,2024-05-13
135,Guest 135,Presidential,Booking-0135,Room Service,3906,13,2024-05-14
136,Guest 136,Double,Booking-0136,Restaurant,2469,1,2024-05-15
137,Guest 137,Deluxe,Booking-0137,Laundry,1471,10,2024-05-16
138,Guest 138,Suite,Booking-0138,Laundry,104,13,2024-05-17
139,Guest 139,Suite,Booking-0139,Restaurant,592,11,2024-05-18
140,Guest 140,Suite,Booking-0140,Room Service,4050,6,2024-05-19
141,Guest 141,Single,Booking-0141,Room Service,2338,14,2024-05-20
142,Guest 142,Presidential,Booking-0142,Spa,4997,5,2024-05-21
143,Guest 143,Suite,Booking-0143,Restaurant,2155,4,2024-05-22
144,Guest 144,Double,Booking-0144,Laundry,3214,2,2024-05-23
145,Guest 145,Presidential,Booking-0145,Laundry,2978,8,2024-05-24
146,Guest 146,Presidential,Booking-0146,Spa,1842,4,2024-05-25
147,Guest 147,Single,Booking-0147,Restaurant,4893,6,2024-05-26
148,Guest 148,Single,Booking-0148,Room Service,4280,14,2024-05-27
149,Guest 149,Deluxe,Booking-0149,Minibar,2404,1,2024-05-28
150,Guest 150,Deluxe,Booking-0150,Spa,472,14,2024-05-29
151,Guest 151,Single,Booking-0151,Room Service,1422,6,2024-05-30
152,Guest 152,Single,Booking-0152,Laundry,4475,9,2024-05-31
153,Guest 153,Presidential,Booking-0153,Spa,4712,13,2024-06-01
154,Guest 154,Presidential,Booking-0154,Spa,672,4,2024-06-02
155,Guest 155,Single,Booking-0155,Minibar,2562,2,2024-06-03
156,Guest 156,Presidential,Booking-0156,Room Service,834,13,2024-06-04
157,Guest 157,Single,Booking-0157,Minibar,3338,10,2024-06-05
158,Guest 158,Presidential,Booking-0158,Spa,1107,10,2024-06-06
159,Guest 159,Single,Booking-0159,Room Service,1244,8,2024-06-07
160,Guest 160,Double,Booking-0160,Restaurant,4658,13,2024-06-08
161,Guest 161,Single,Booking-0161,Spa,2389,2,2024-06-09
162,Guest 162,Double,Booking-0162,Minibar,3638,11,2024-06-10
163,Guest 163,Suite,Booking-0163,Minibar,1827,8,2024-06-11
164,Guest 164,Double,Booking-0164,Minibar,4235,10,2024-06-12
165,Guest 165,Suite,Booking-0165,Minibar,2707,2,2024-06-13
166,Guest 166,Deluxe,Booking-0166,Minibar,2906,2,2024-06-14
167,Guest 167,Presidential,Booking-0167,Laundry,2241,1,2024-06-15
168,Guest 168,Deluxe,Booking-0168,Spa,3808,1,2024-06-16
169,Guest 169,Single,Booking-0169,Restaurant,2336,7,2024-06-17
170,Guest 170,Double,Booking-0170,Restaurant,2114,6,2024-06-18
171,Guest 171,Suite,Booking-0171,Room Service,2734,14,2024-06-19
172,Guest 172,Suite,Booking-0172,Laundry,2898,12,2024-06-20
173,Guest 173,Double,Booking-0173,Spa,1825,2,2024-06-21
174,Guest 174,Single,Booking-0174,Minibar,3866,13,2024-06-22
175,Guest 175,Double,Booking-0175,Minibar,2790,3,2024-06-23
176,Guest 176,Deluxe,Booking-0176,Restaurant,230,1,2024-06-24
177,Guest 177,Deluxe,Booking-0177,Restaurant,1195,13,2024-06-25
178,Guest 178,Single,Booking-0178,Laundry,116,8,2024-06-26
179,Guest 179,Double,Booking-0179,Spa,4003,1,2024-06-27
180,Guest 180,Deluxe,Booking-0180,Spa,135,5,2024-06-28
181,Guest 181,Suite,Booking-0181,Room Service,178,10,2024-06-29
182,Guest 182,Suite,Booking-0182,Minibar,1521,11,2024-06-30
183,Guest 183,Presidential,Booking-0183,Spa,3484,7,2024-07-01
184,Guest 184,Double,Booking-0184,Spa,4653,2,2024-07-02
185,Guest 185,Single,Booking-0185,Laundry,4105,2,2024-07-03
186,Guest 186,Suite,Booking-0186,Laundry,3317,11,2024-07-04
187,Guest 187,Suite,Booking-0187,Room Service,4508,1,2024-07-05
188,Guest 188,Deluxe,Booking-0188,Minibar,764,9,2024-07-06
189,Guest 189,Suite,Booking-0189,Room Service,735,1,2024-07-07
190,Guest 190,Double,Booking-0190,Laundry,4512,5,2024-07-08
191,Guest 191,Double,Booking-0191,Minibar,353,14,2024-07-09
192,Guest 192,Presidential,Booking-0192,Laundry,3746,7,2024-07-10
193,Guest 193,Deluxe,Booking-0193,Laundry,1111,7,2024-07-11
194,Guest 194,Double,Booking-0194,Room Service,2991,2,2024-07-12
195,Guest 195,Double,Booking-0195,Restaurant,3183,10,2024-07-13
196,Guest 196,Deluxe,Booking-0196,Restaurant,3032,13,2024-07-14
197,Guest 197,Deluxe,Booking-0197,Room Service,3268,7,2024-07-15
198,Guest 198,Deluxe,Booking-0198,Laundry,1551,4,2024-07-16
199,Guest 199,Deluxe,Booking-0199,Laundry,169,14,2024-07-17
200,Guest 200,Presidential,Booking-0200,Laundry,1122,10,2024-07-18
