policy_id,policy_number,claim_id,agent,premium,claim_amount,coverage,date
1,POL000001,1001,Agent 01,8242,49936,Home,2024-01-01
2,POL000002,1002,Agent 02,1334,3414,Home,2024-01-02
3,POL000003,1003,Agent 03,8879,42033,Auto,2024-01-03
4,POL000004,1004,Agent 04,3607,42047,Home,2024-01-04
5,POL000005,1005,Agent 05,4808,12041,Home,2024-01-05
6,POL000006,1006,Agent 06,4444,41297,Auto,2024-01-06
7,POL000007,1007,Agent 07,878,29058,Health,2024-01-07
8,POL000008,1008,Agent 08,4971,42015,Life,2024-01-08
9,POL000009,1009,Agent 09,9496,8918,Home,2024-01-09
10,POL000010,1010,Agent 10,6686,201,Health,2024-01-10
11,POL000011,1011,Agent 01,3800,26257,Health,2024-01-11
12,POL000012,1012,Agent 02,1606,13112,Auto,2024-01-12
13,POL000013,1013,Agent 03,9573,41176,Health,2024-01-13
14,POL000014,1014,Agent 04,1652,20024,Auto,2024-01-14
15,POL000015,1015,Agent 05,9797,20560,Health,2024-01-15
16,POL000016,1016,Agent 06,5618,37736,Life,2024-01-16
17,POL000017,1017,Agent 07,4578,5389,Travel,2024-01-17
18,POL000018,1018,Agent 08,1202,7263,Health,2024-01-18
19,POL000019,1019,Agent 09,9380,10343,Health,2024-01-19
20,POL000020,1020,Agent 10,8800,16358,Health,2024-01-20
21,POL000021,1021,Agent 01,7886,33840,Auto,2024-01-21
22,POL000022,1022,Agent 02,7097,46764,Home,2024-01-22
23,POL000023,1023,Agent 03,3536,42544,Auto,2024-01-23
24,POL000024,1024,Agent 04,5790,8525,Life,2024-01-24
25,POL000025,1025,Agent 05,1356,38929,Auto,2024-01-25
26,POL000026,1026,Agent 06,5045,44941,Home,2024-01-26
27,POL000027,1027,Agent 07,8368,26890,Life,2024-01-27
28,POL000028,1028,Agent 08,5013,20932,Home,2024-01-28
29,POL000029,1029,Agent 09,7192,29588,Home,2024-01-29
30,POL000030,1030,Agent 10,8946,31350,Travel,2024-01-30
31,POL000031,1031,Agent 01,5233,48180,Life,2024-01-31
32,POL000032,1032,Agent 02,3378,8749,Travel,2024-02-01
33,POL000033,1033,Agent 03,6888,17083,Travel,2024-02-02
34,POL000034,1034,Agent 04,6691,11369,Home,2024-02-03
35,POL000035,1035,Agent 05,4216,45053,Travel,2024-02-04
36,POL000036,1036,Agent 06,8543,38864,Auto,2024-02-05
37,POL000037,1037,Agent 07,7525,21468,Travel,2024-02-06
38,POL000038,1038,Agent 08,9071,18467,Travel,2024-02-07
39,POL000039,1039,Agent 09,3058,13019,Home,2024-02-08
40,POL000040,1040,Agent 10,404,5531,Health,2024-02-09
41,POL000041,1041,Agent 01,8557,27164,Auto,2024-02-10
42,POL000042,1042,Agent 02,3156,24091,Home,2024-02-11
43,POL000043,1043,Agent 03,9551,11920,Health,2024-02-12
44,POL000044,1044,Agent 04,8278,25788,Auto,2024-02-13
45,POL000045,1045,Agent 05,3589,24728,Life,2024-02-14
46,POL000046,1046,Agent 06,7756,37381,Auto,2024-02-15
47,POL000047,1047,Agent 07,4489,14711,Life,2024-02-16
48,POL000048,1048,Agent 08,8828,1358,Auto,2024-02-17
49,POL000049,1049,Agent 09,7206,1505,Health,2024-02-18
50,POL000050,1050,Agent 10,9375,36603,Life,2024-02-19
51,POL000051,1051,Agent 01,1081,42408,Travel,2024-02-20
52,POL000052,1052,Agent 02,8656,40108,Auto,2024-02-21
53,POL000053,1053,Agent 03,3387,41066,Life,2024-02-22
54,POL000054,1054,Agent 04,6068,14988,Home,2024-02-23
55,POL000055,1055,Agent 05,7677,5831,Auto,2024-02-24
56,POL000056,1056,Agent 06,2520,30305,Auto,2024-02-25
57,POL000057,1057,Agent 07,4038,12993,Health,2024-02-26
58,POL000058,1058,Agent 08,2565,17156,Health,2024-02-27
59,POL000059,1059,Agent 09,5019,45957,Health,2024-02-28
60,POL000060,1060,Agent 10,7233,11059,Life,2024-02-29
61,POL000061,1061,Agent 01,6821,3262,Travel,2024-03-01
62,POL000062,1062,Agent 02,5320,26282,Auto,2024-03-02
63,POL000063,1063,Agent 03,1155,40501,Life,2024-03-03
64,POL000064,1064,Agent 04,3435,28108,Auto,2024-03-04
65,POL000065,1065,Agent 05,6857,39347,Travel,2024-03-05
66,POL000066,1066,Agent 06,4473,17049,Health,2024-03-06
67,POL000067,1067,Agent 07,4802,9781,Life,2024-03-07
68,POL000068,1068,Agent 08,2731,5836,Travel,2024-03-08
69,POL000069,1069,Agent 09,4301,24112,Home,2024-03-09
70,POL000070,1070,Agent 10,9950,11149,Home,2024-03-10
71,POL000071,1071,Agent 01,3968,37174,Auto,2024-03-11
72,POL000072,1072,Agent 02,6749,7690,Life,2024-03-12
73,POL000073,1073,Agent 03,4007,925,Life,2024-03-13
74,POL000074,1074,Agent 04,1960,47093,Auto,2024-03-14
75,POL000075,1075,Agent 05,2556,34461,Auto,2024-03-15
76,POL000076,1076,Agent 06,3244,28518,Travel,2024-03-16
77,POL000077,1077,Agent 07,553,29734,Travel,2024-03-17
78,POL000078,1078,Agent 08,4123,44145,Health,2024-03-18
79,POL000079,1079,Agent 09,5187,32384,Auto,2024-03-19
80,POL000080,1080,Agent 10,7704,7766,Health,2024-03-20
81,POL000081,1081,Agent 01,8052,14711,Life,2024-03-21
82,POL000082,1082,Agent 02,9272,46764,Home,2024-03-22
83,POL000083,1083,Agent 03,7245,13313,Home,2024-03-23
84,POL000084,1084,Agent 04,7014,12487,Health,2024-03-24
85,POL000085,1085,Agent 05,706,17445,Auto,2024-03-25
86,POL000086,1086,Agent 06,3409,18871,Auto,2024-03-26
87,POL000087,1087,Agent 07,2710,48918,Home,2024-03-27
88,POL000088,1088,Agent 08,4568,32385,Home,2024-03-28
89,POL000089,1089,Agent 09,2335,25039,Health,2024-03-29
90,POL000090,1090,Agent 10,577,8532,Health,2024-03-30
91,POL000091,1091,Agent 01,4333,28266,Life,2024-03-31
92,POL000092,1092,Agent 02,4651,13540,Home,2024-04-01
93,POL000093,1093,Agent 03,9122,39327,Auto,2024-04-02
94,POL000094,1094,Agent 04,2983,14127,Life,2024-04-03
95,POL000095,1095,Agent 05,791,18544,Health,2024-04-04
96,POL000096,1096,Agent 06,8060,47625,Health,2024-04-05
97,POL000097,1097,Agent 07,426,44380,Life,2024-04-06
98,POL000098,1098,Agent 08,1006,12410,Travel,2024-04-07
99,POL000099,1099,Agent 09,1475,27415,Home,2024-04-08
100,POL000100,1100,Agent 10,5243,11820,Life,2024-04-09
101,POL000101,1101,Agent 01,9956,26773,Auto,2024-04-10
102,POL000102,1102,Agent 02,4982,9564,Life,2024-04-11
103,POL000103,1103,Agent 03,1141,1885,Travel,2024-04-12
104,POL000104,1104,Agent 04,6768,19018,Home,2024-04-13
105,POL000105,1105,Agent 05,6054,17157,Health,2024-04-14
106,POL000106,1106,Agent 06,1579,15432,Health,2024-04-15
107,POL000107,1107,Agent 07,6602,40480,Health,2024-04-16
108,POL000108,1108,Agent 08,2402,29555,Health,2024-04-17
109,POL000109,1109,Agent 09,3967,16273,Life,2024-04-18
110,POL000110,1110,Agent 10,1933,24224,Travel,2024-04-19
111,POL000111,1111,Agent 01,9454,38201,Travel,2024-04-20
112,POL000112,1112,Agent 02,8296,44844,Health,2024-04-21
113,POL000113,1113,Agent 03,2076,42417,Auto,2024-04-22
114,POL000114,1114,Agent 04,8651,30026,Health,2024-04-23
115,POL000115,1115,Agent 05,9609,5618,Life,2024-04-24
116,POL000116,1116,Agent 06,8705,676,Travel,2024-04-25
117,POL000117,1117,Agent 07,4225,30728,Home,2024-04-26
118,POL000118,1118,Agent 08,8233,8729,Health,2024-04-27
119,POL000119,1119,Agent 09,1578,21184,Health,2024-04-28
120,POL000120,1120,Agent 10,4000,45417,Auto,2024-04-29
121,POL000121,1121,Agent 01,9927,26054,Auto,2024-04-30
122,POL000122,1122,Agent 02,2103,45013,Travel,2024-05-01
123,POL000123,1123,Agent 03,5234,13907,Life,2024-05-02
124,POL000124,1124,Agent 04,5495,46749,Health,2024-05-03
125,POL000125,1125,Agent 05,9673,25132,Home,2024-05-04
126,POL000126,1126,Agent 06,6488,46429,Home,2024-05-05
127,POL000127,1127,Agent 07,3965,27740,Health,2024-05-06
128,POL000128,1128,Agent 08,7028,48241,Travel,2024-05-07
129,POL000129,1129,Agent 09,3671,39137,Travel,2024-05-08
130,POL000130,1130,Agent 10,2463,16792,Auto,2024-05-09
131,POL000131,1131,Agent 01,1850,4787,Life,2024-05-10
132,POL000132,1132,Agent 02,2969,6244,Health,2024-05-11
133,POL000133,1133,Agent 03,3607,36503,Health,2024-05-12
134,POL000134,1134,Agent 04,4598,3850,Auto,2024-05-13
135,POL000135,1135,Agent 05,7300,3415,Health,2024-05-14
136,POL000136,1136,Agent 06,6790,21814,Life,2024-05-15
137,POL000137,1137,Agent 07,4266,15390,Home,2024-05-16
138,POL000138,1138,Agent 08,9758,30863,Home,2024-05-17
139,POL000139,1139,Agent 09,1016,23219,Life,2024-05-18
140,POL000140,1140,Agent 10,8134,39739,Home,2024-05-19
141,POL000141,1141,Agent 01,8840,43960,Travel,2024-05-20
142,POL000142,1142,Agent 02,6239,39205,Health,2024-05-21
143,POL000143,1143,Agent 03,1950,46502,Life,2024-05-22
144,POL000144,1144,Agent 04,5285,49036,Travel,2024-05-23
145,POL000145,1145,Agent 05,9041,2982,Auto,2024-05-24
146,POL000146,1146,Agent 06,7043,351,Travel,2024-05-25
147,POL000147,1147,Agent 07,7880,16623,Auto,2024-05-26
148,POL000148,1148,Agent 08,4136,33065,Auto,2024-05-27
149,POL000149,1149,Agent 09,4650,40609,Travel,2024-05-28
150,POL000150,1150,Agent 10,2474,24965,Auto,2024-05-29
151,POL000151,1151,Agent 01,6047,19825,Travel,2024-05-30
152,POL000152,1152,Agent 02,7886,25866,Health,2024-05-31
153,POL000153,1153,Agent 03,6125,43991,Health,2024-06-01
154,POL000154,1154,Agent 04,5149,24307,Auto,2024-06-02
155,POL000155,1155,Agent 05,445,8666,Health,2024-06-03
156,POL000156,1156,Agent 06,670,36671,Travel,2024-06-04
157,POL000157,1157,Agent 07,995,2695,Life,2024-06-05
158,POL000158,1158,Agent 08,4026,38042,Life,2024-06-06
159,POL000159,1159,Agent 09,4244,11755,Life,2024-06-07
160,POL000160,1160,Agent 10,9155,17058,Travel,2024-06-08
161,POL000161,1161,Agent 01,6402,11132,Auto,2024-06-09
162,POL000162,1162,Agent 02,5167,33013,Travel,2024-06-10
163,POL000163,1163,Agent 03,6045,32298,Auto,2024-06-11
164,POL000164,1164,Agent 04,2099,22228,Auto,2024-06-12
165,POL000165,1165,Agent 05,8863,30676,Health,2024-06-13
166,POL000166,1166,Agent 06,3972,8645,Home,2024-06-14
167,POL000167,1167,Agent 07,7348,5875,Home,2024-06-15
168,POL000168,1168,Agent 08,6464,20795,Health,2024-06-16
169,POL000169,1169,Agent 09,228,46547,Auto,2024-06-17
170,POL000170,1170,Agent 10,6538,34761,Auto,2024-06-18
171,POL000171,1171,Agent 01,4286,28372,Health,2024-06-19
172,POL000172,1172,Agent 02,5029,9292,Life,2024-06-20
173,POL000173,1173,Agent 03,1578,17065,Life,2024-06-21
174,POL000174,1174,Agent 04,3957,7657,Travel,2024-06-22
175,POL000175,1175,Agent 05,4972,20530,Health,2024-06-23
176,POL000176,1176,Agent 06,3546,2894,Health,2024-06-24
177,POL000177,1177,Agent 07,2725,8380,Travel,2024-06-25
178,POL000178,1178,Agent 08,7290,32716,Life,2024-06-26
179,POL000179,1179,Agent 09,5296,18415,Life,2024-06-27
180,POL000180,1180,Agent 10,6756,49009,Home,2024-06-28
181,POL000181,1181,Agent 01,655,23631,Home,2024-06-29
182,POL000182,1182,Agent 02,4589,28186,Home,2024-06-30
183,POL000183,1183,Agent 03,1412,18541,Auto,2024-07-01
184,POL000184,1184,Agent 04,8155,17250,Travel,2024-07-02
185,POL000185,1185,Agent 05,7818,40169,Life,2024-07-03
186,POL000186,1186,Agent 06,6865,49909,Auto,2024-07-04
187,POL000187,1187,Agent 07,5551,17285,Health,2024-07-05
188,POL000188,1188,Agent 08,7020,33880,Travel,2024-07-06
189,POL000189,1189,Agent 09,1744,20513,Auto,2024-07-07
190,POL000190,1190,Agent 10,2727,28558,Auto,2024-07-08
191,POL000191,1191,Agent 01,4375,10812,Health,2024-07-09
192,POL000192,1192,Agent 02,8395,20679,Auto,2024-07-10
193,POL000193,1193,Agent 03,1187,48291,Auto,2024-07-11
194,POL000194,1194,Agent 04,5864,32196,Home,2024-07-12
195,POL000195,1195,Agent 05,6995,9913,Health,2024-07-13
196,POL000196,1196,Agent 06,9965,36416,Health,2024-07-14
197,POL000197,1197,Agent 07,9073,43084,Health,2024-07-15
198,POL000198,1198,Agent 08,5453,41723,Travel,2024-07-16
