machine_id,machine_name,production_id,output,downtime,product,operator,date
1,Machine-001,1001,840,102,Part Y,Operator 01,2024-01-01
2,Machine-002,1002,4201,117,Widget A,Operator 02,2024-01-02
3,Machine-003,1003,1027,113,Part Y,Operator 03,2024-01-03
4,Machine-004,1004,1572,101,Component X,Operator 04,2024-01-04
5,Machine-005,1005,4895,45,Part Y,Operator 05,2024-01-05
6,Machine-006,1006,4576,8,Part Y,Operator 06,2024-01-06
7,Machine-007,1007,1208,19,Widget B,Operator 07,2024-01-07
8,Machine-008,1008,3320,35,Widget B,Operator 08,2024-01-08
9,Machine-009,1009,3487,107,Widget B,Operator 09,2024-01-09
10,Machine-010,1010,2749,3,Component X,Operator 10,2024-01-10
11,Machine-011,1011,3793,43,Component X,Operator 11,2024-01-11
12,Machine-012,1012,304,48,Part Y,Operator 12,2024-01-12
13,Machine-013,1013,1565,80,Widget B,Operator 13,2024-01-13
14,Machine-014,1014,3816,68,Component X,Operator 14,2024-01-14
15,Machine-015,1015,4935,107,Component X,Operator 15,2024-01-15
16,Machine-016,1016,1754,21,Part Y,Operator 01,2024-01-16
17,Machine-017,1017,3824,73,Part Y,Operator 02,2024-01-17
18,Machine-018,1018,838,77,Widget A,Operator 03,2024-01-18
19,Machine-019,1019,2148,49,Widget A,Operator 04,2024-01-19
20,Machine-020,1020,2754,23,Part Y,Operator 05,2024-01-20
21,Machine-021,1021,1443,76,Widget A,Operator 06,2024-01-21
22,Machine-022,1022,1112,14,Component X,Operator 07,2024-01-22
23,Machine-023,1023,847,110,Part Y,Operator 08,2024-01-23
24,Machine-024,1024,1035,100,Part Y,Operator 09,2024-01-24
25,Machine-025,1025,3781,96,Widget B,Operator 10,2024-01-25
26,Machine-026,1026,3073,39,Component X,Operator 11,2024-01-26
27,Machine-027,1027,798,90,Component X,Operator 12,2024-01-27
28,Machine-028,1028,4391,109,Widget B,Operator 13,2024-01-28
29,Machine-029,1029,3246,40,Widget A,Operator 14,2024-01-29
30,Machine-030,1030,4291,90,Part Y,Operator 15,2024-01-30
31,Machine-031,1031,1409,4,Widget A,Operator 01,2024-01-31
32,Machine-032,1032,3202,34,Component X,Operator 02,2024-02-01
33,Machine-033,1033,4608,52,Widget A,Operator 03,2024-02-02
34,Machine-034,1034,3217,11,Component X,Operator 04,2024-02-03
35,Machine-035,1035,459,63,Part Y,Operator 05,2024-02-04
36,Machine-036,1036,1499,112,Part Y,Operator 06,2024-02-05
37,Machine-037,1037,2845,30,Part Y,Operator 07,2024-02-06
38,Machine-038,1038,4732,47,Widget B,Operator 08,2024-02-07
39,Machine-039,1039,1329,57,Widget B,Operator 09,2024-02-08
40,Machine-040,1040,1428,106,Widget B,Operator 10,2024-02-09
41,Machine-041,1041,1284,38,Part Y,Operator 11,2024-02-10
42,Machine-042,1042,1565,27,Part Y,Operator 12,2024-02-11
43,Machine-043,1043,520,67,Widget A,Operator 13,2024-02-12
44,Machine-044,1044,3537,38,Component X,Operator 14,2024-02-13
45,Machine-045,1045,2623,22,Widget B,Operator 15,2024-02-14
46,Machine-046,1046,2635,14,Part Y,Operator 01,2024-02-15
47,Machine-047,1047,3755,47,Part Y,Operator 02,2024-02-16
48,Machine-048,1048,2465,100,Component X,Operator 03,2024-02-17
49,Machine-049,1049,1580,4,Widget B,Operator 04,2024-02-18
50,Machine-050,1050,1063,99,Widget B,Operator 05,2024-02-19
51,Machine-051,1051,1177,25,Widget A,Operator 06,2024-02-20
52,Machine-052,1052,1761,116,Part Y,Operator 07,2024-02-21
53,Machine-053,1053,128,11,Widget A,Operator 08,2024-02-22
54,Machine-054,1054,2173,56,Part Y,Operator 09,2024-02-23
55,Machine-055,1055,200,64,Component X,Operator 10,2024-02-24
56,Machine-056,1056,3857,3,Widget A,Operator 11,2024-02-25
57,Machine-057,1057,4176,102,Part Y,Operator 12,2024-02-26
58,Machine-058,1058,4184,61,Widget B,Operator 13,2024-02-27
59,Machine-059,1059,4552,115,Component X,Operator 14,2024-02-28
60,Machine-060,1060,147,64,Part Y,Operator 15,2024-02-29
61,Machine-061,1061,4142,19,Widget A,Operator 01,2024-03-01
62,Machine-062,1062,2048,24,Widget A,Operator 02,2024-03-02
63,Machine-063,1063,1876,43,Part Y,Operator 03,2024-03-03
64,Machine-064,1064,4923,118,Component X,Operator 04,2024-03-04
65,Machine-065,1065,3997,61,Part Y,Operator 05,2024-03-05
66,Machine-066,1066,3817,93,Widget A,Operator 06,2024-03-06
67,Machine-067,1067,3459,111,Widget A,Operator 07,2024-03-07
68,Machine-068,1068,3719,67,Widget B,Operator 08,2024-03-08
69,Machine-069,1069,750,39,Widget B,Operator 09,2024-03-09
70,Machine-070,1070,153,99,Widget A,Operator 10,2024-03-10
71,Machine-071,1071,2104,41,Widget B,Operator 11,2024-03-11
72,Machine-072,1072,4583,18,Widget B,Operator 12,2024-03-12
73,Machine-073,1073,2378,98,Part Y,Operator 13,2024-03-13
74,Machine-074,1074,4667,111,Component X,Operator 14,2024-03-14
75,Machine-075,1075,1800,12,Part Y,Operator 15,2024-03-15
76,Machine-076,1076,500,105,Part Y,Operator 01,2024-03-16
77,Machine-077,1077,1614,120,Widget B,Operator 02,2024-03-17
78,Machine-078,1078,1314,66,Widget B,Operator 03,2024-03-18
79,Machine-079,1079,551,86,Component X,Operator 04,2024-03-19
80,Machine-080,1080,2959,16,Component X,Operator 05,2024-03-20
81,Machine-081,1081,400,26,Component X,Operator 06,2024-03-21
82,Machine-082,1082,1290,92,Part Y,Operator 07,2024-03-22
83,Machine-083,1083,365,4,Component X,Operator 08,2024-03-23
84,Machine-084,1084,4835,58,Widget A,Operator 09,2024-03-24
85,Machine-085,1085,2544,49,Widget A,Operator 10,2024-03-25
86,Machine-086,1086,2812,91,Part Y,Operator 11,2024-03-26
87,Machine-087,1087,818,110,Widget B,Operator 12,2024-03-27
88,Machine-088,1088,501,66,Component X,Operator 13,2024-03-28
89,Machine-089,1089,992,14,Widget A,Operator 14,2024-03-29
90,Machine-090,1090,3515,0,Component X,Operator 15,2024-03-30
91,Machine-091,1091,1560,39,Widget A,Operator 01,2024-03-31
