beneficiary_id,beneficiary_name,donor,program,project,donation,grant,region,date
1,Beneficiary 001,Gates Foundation,Health,Project-0001,23838,Grant-0001,Asia,2024-01-01
2,Beneficiary 002,WHO,Food Security,Project-0002,39554,Grant-0002,Middle East,2024-01-02
3,Beneficiary 003,WHO,Education,Project-0003,47109,Grant-0003,Africa,2024-01-03
4,Beneficiary 004,Gates Foundation,Shelter,Project-0004,7854,Grant-0004,Africa,2024-01-04
5,Beneficiary 005,WHO,Education,Project-0005,43426,Grant-0005,Asia,2024-01-05
6,Beneficiary 006,Red Cross,Education,Project-0006,15195,Grant-0006,Middle East,2024-01-06
7,Beneficiary 007,Gates Foundation,Food Security,Project-0007,27272,Grant-0007,Middle East,2024-01-07
8,Beneficiary 008,USAID,Shelter,Project-0008,21741,Grant-0008,Africa,2024-01-08
9,Beneficiary 009,WHO,Water,Project-0009,47302,Grant-0009,Africa,2024-01-09
10,Beneficiary 010,USAID,Education,Project-0010,7527,Grant-0010,Latin America,2024-01-10
11,Beneficiary 011,USAID,Water,Project-0011,31656,Grant-0011,Asia,2024-01-11
12,Beneficiary 012,Gates Foundation,Water,Project-0012,44351,Grant-0012,Latin America,2024-01-12
13,Beneficiary 013,UNICEF,Health,Project-0013,31479,Grant-0013,Africa,2024-01-13
14,Beneficiary 014,USAID,Shelter,Project-0014,31493,Grant-0014,Africa,2024-01-14
15,Beneficiary 015,USAID,Shelter,Project-0015,13908,Grant-0015,Middle East,2024-01-15
16,Beneficiary 016,UNICEF,Education,Project-0016,38818,Grant-0016,Middle East,2024-01-16
17,Beneficiary 017,Red Cross,Health,Project-0017,10667,Grant-0017,Latin America,2024-01-17
18,Beneficiary 018,UNICEF,Health,Project-0018,42518,Grant-0018,Africa,2024-01-18
19,Beneficiary 019,Red Cross,Health,Project-0019,27028,Grant-0019,Asia,2024-01-19
20,Beneficiary 020,Red Cross,Shelter,Project-0020,1571,Grant-0020,Middle East,2024-01-20
21,Beneficiary 021,UNICEF,Shelter,Project-0021,16069,Grant-0021,Middle East,2024-01-21
22,Beneficiary 022,USAID,Food Security,Project-0022,2927,Grant-0022,Africa,2024-01-22
23,Beneficiary 023,Red Cross,Shelter,Project-0023,8481,Grant-0023,Asia,2024-01-23
24,Beneficiary 024,UNICEF,Shelter,Project-0024,37684,Grant-0024,Latin America,2024-01-24
25,Beneficiary 025,WHO,Health,Project-0025,38920,Grant-0025,Asia,2024-01-25
26,Beneficiary 026,USAID,Water,Project-0026,10659,Grant-0026,Africa,2024-01-26
27,Beneficiary 027,Red Cross,Education,Project-0027,8929,Grant-0027,Asia,2024-01-27
28,Beneficiary 028,Gates Foundation,Water,Project-0028,41357,Grant-0028,Asia,2024-01-28
29,Beneficiary 029,USAID,Education,Project-0029,33696,Grant-0029,Africa,2024-01-29
30,Beneficiary 030,WHO,Food Security,Project-0030,2668,Grant-0030,Latin America,2024-01-30
31,Beneficiary 031,WHO,Shelter,Project-0031,37604,Grant-0031,Asia,2024-01-31
32,Beneficiary 032,UNICEF,Education,Project-0032,9724,Grant-0032,Africa,2024-02-01
33,Beneficiary 033,WHO,Education,Project-0033,3764,Grant-0033,Asia,2024-02-02
34,Beneficiary 034,Gates Foundation,Education,Project-0034,11001,Grant-0034,Africa,2024-02-03
35,Beneficiary 035,UNICEF,Education,Project-0035,17025,Grant-0035,Latin America,2024-02-04
36,Beneficiary 036,WHO,Shelter,Project-0036,11898,Grant-0036,Middle East,2024-02-05
37,Beneficiary 037,Red Cross,Water,Project-0037,33958,Grant-0037,Latin America,2024-02-06
38,Beneficiary 038,USAID,Education,Project-0038,26671,Grant-0038,Middle East,2024-02-07
39,Beneficiary 039,Gates Foundation,Health,Project-0039,39379,Grant-0039,Middle East,2024-02-08
40,Beneficiary 040,Gates Foundation,Education,Project-0040,37036,Grant-0040,Asia,2024-02-09
41,Beneficiary 041,Gates Foundation,Shelter,Project-0041,41887,Grant-0041,Africa,2024-02-10
42,Beneficiary 042,Red Cross,Health,Project-0042,1320,Grant-0042,Africa,2024-02-11
43,Beneficiary 043,WHO,Shelter,Project-0043,47256,Grant-0043,Africa,2024-02-12
44,Beneficiary 044,USAID,Food Security,Project-0044,47808,Grant-0044,Latin America,2024-02-13
45,Beneficiary 045,USAID,Shelter,Project-0045,43468,Grant-0045,Latin America,2024-02-14
46,Beneficiary 046,Red Cross,Health,Project-0046,18676,Grant-0046,Latin America,2024-02-15
47,Beneficiary 047,UNICEF,Water,Project-0047,5719,Grant-0047,Latin America,2024-02-16
48,Beneficiary 048,WHO,Health,Project-0048,14294,Grant-0048,Asia,2024-02-17
49,Beneficiary 049,Gates Foundation,Water,Project-0049,29538,Grant-0049,Asia,2024-02-18
50,Beneficiary 050,UNICEF,Health,Project-0050,39849,Grant-0050,Middle East,2024-02-19
51,Beneficiary 051,Red Cross,Education,Project-0051,30994,Grant-0051,Middle East,2024-02-20
52,Beneficiary 052,WHO,Shelter,Project-0052,31666,Grant-0052,Africa,2024-02-21
53,Beneficiary 053,WHO,Food Security,Project-0053,11278,Grant-0053,Latin America,2024-02-22
54,Beneficiary 054,WHO,Water,Project-0054,14476,Grant-0054,Asia,2024-02-23
55,Beneficiary 055,UNICEF,Water,Project-0055,27020,Grant-0055,Middle East,2024-02-24
56,Beneficiary 056,UNICEF,Education,Project-0056,39476,Grant-0056,Africa,2024-02-25
57,Beneficiary 057,Red Cross,Education,Project-0057,9452,Grant-0057,Africa,2024-02-26
58,Beneficiary 058,Gates Foundation,Health,Project-0058,38284,Grant-0058,Latin America,2024-02-27
59,Beneficiary 059,UNICEF,Water,Project-0059,12019,Grant-0059,Latin America,2024-02-28
60,Beneficiary 060,USAID,Shelter,Project-0060,40942,Grant-0060,Africa,2024-02-29
61,Beneficiary 061,UNICEF,Health,Project-0061,43330,Grant-0061,Latin America,2024-03-01
62,Beneficiary 062,UNICEF,Education,Project-0062,33576,Grant-0062,Latin America,2024-03-02
63,Beneficiary 063,WHO,Water,Project-0063,17435,Grant-0063,Middle East,2024-03-03
64,Beneficiary 064,USAID,Food Security,Project-0064,11091,Grant-0064,Middle East,2024-03-04
65,Beneficiary 065,Gates Foundation,Food Security,Project-0065,47560,Grant-0065,Middle East,2024-03-05
66,Beneficiary 066,USAID,Water,Project-0066,45030,Grant-0066,Asia,2024-03-06
67,Beneficiary 067,Gates Foundation,Shelter,Project-0067,22557,Grant-0067,Latin America,2024-03-07
68,Beneficiary 068,Red Cross,Water,Project-0068,29818,Grant-0068,Middle East,2024-03-08
69,Beneficiary 069,WHO,Shelter,Project-0069,39194,Grant-0069,Middle East,2024-03-09
70,Beneficiary 070,Red Cross,Education,Project-0070,38805,Grant-0070,Africa,2024-03-10
71,Beneficiary 071,UNICEF,Shelter,Project-0071,4611,Grant-0071,Middle East,2024-03-11
72,Beneficiary 072,UNICEF,Shelter,Project-0072,15161,Grant-0072,Africa,2024-03-12
73,Beneficiary 073,WHO,Water,Project-0073,24886,Grant-0073,Latin America,2024-03-13
74,Beneficiary 074,Red Cross,Water,Project-0074,25361,Grant-0074,Africa,2024-03-14
75,Beneficiary 075,USAID,Food Security,Project-0075,8764,Grant-0075,Middle East,2024-03-15
76,Beneficiary 076,Red Cross,Education,Project-0076,7215,Grant-0076,Asia,2024-03-16
77,Beneficiary 077,Gates Foundation,Health,Project-0077,1185,Grant-0077,Asia,2024-03-17
78,Beneficiary 078,UNICEF,Water,Project-0078,13361,Grant-0078,Latin America,2024-03-18
79,Beneficiary 079,USAID,Education,Project-0079,34356,Grant-0079,Middle East,2024-03-19
80,Beneficiary 080,UNICEF,Education,Project-0080,33153,Grant-0080,Latin America,2024-03-20
81,Beneficiary 081,Red Cross,Food Security,Project-0081,44950,Grant-0081,Africa,2024-03-21
82,Beneficiary 082,WHO,Water,Project-0082,27611,Grant-0082,Latin America,2024-03-22
83,Beneficiary 083,USAID,Water,Project-0083,9901,Grant-0083,Asia,2024-03-23
84,Beneficiary 084,WHO,Education,Project-0084,39782,Grant-0084,Latin America,2024-03-24
85,Beneficiary 085,Red Cross,Water,Project-0085,6411,Grant-0085,Africa,2024-03-25
86,Beneficiary 086,Gates Foundation,Food Security,Project-0086,11727,Grant-0086,Middle East,2024-03-26
87,Beneficiary 087,WHO,Food Security,Project-0087,31286,Grant-0087,Latin America,2024-03-27
88,Beneficiary 088,WHO,Food Security,Project-0088,40388,Grant-0088,Africa,2024-03-28
89,Beneficiary 089,Red Cross,Water,Project-0089,39409,Grant-0089,Asia,2024-03-29
90,Beneficiary 090,USAID,Water,Project-0090,2658,Grant-0090,Middle East,2024-03-30
91,Beneficiary 091,Red Cross,Food Security,Project-0091,34927,Grant-0091,Latin America,2024-03-31
92,Beneficiary 092,WHO,Shelter,Project-0092,33086,Grant-0092,Latin America,2024-04-01
93,Beneficiary 093,UNICEF,Health,Project-0093,49408,Grant-0093,Asia,2024-04-02
94,Beneficiary 094,UNICEF,Education,Project-0094,7801,Grant-0094,Latin America,2024-04-03
95,Beneficiary 095,WHO,Shelter,Project-0095,6207,Grant-0095,Asia,2024-04-04
96,Beneficiary 096,USAID,Health,Project-0096,31704,Grant-0096,Asia,2024-04-05
97,Beneficiary 097,WHO,Water,Project-0097,43313,Grant-0097,Middle East,2024-04-06
98,Beneficiary 098,UNICEF,Education,Project-0098,8641,Grant-0098,Asia,2024-04-07
99,Beneficiary 099,Gates Foundation,Shelter,Project-0099,39649,Grant-0099,Asia,2024-04-08
