order_id,customer,product,supplier,inventory,sales,region,date
1,Customer 001,Monitor,Supplier 01,188,2107,North,2024-01-01
2,Customer 002,Phone,Supplier 02,302,799,Central,2024-01-02
3,Customer 003,Phone,Supplier 03,497,7652,North,2024-01-03
4,Customer 004,Laptop,Supplier 04,252,929,East,2024-01-04
5,Customer 005,Keyboard,Supplier 05,395,2852,Central,2024-01-05
6,Customer 006,Keyboard,Supplier 06,397,9502,Central,2024-01-06
7,Customer 007,Laptop,Supplier 07,100,7196,West,2024-01-07
8,Customer 008,Keyboard,Supplier 08,375,6571,North,2024-01-08
9,Customer 009,Phone,Supplier 09,461,8228,West,2024-01-09
10,Customer 010,Monitor,Supplier 10,279,583,South,2024-01-10
11,Customer 011,Tablet,Supplier 01,389,6370,Central,2024-01-11
12,Customer 012,Phone,Supplier 02,407,7090,West,2024-01-12
13,Customer 013,Phone,Supplier 03,125,2931,South,2024-01-13
14,Customer 014,Monitor,Supplier 04,77,5899,North,2024-01-14
15,Customer 015,Keyboard,Supplier 05,3,3617,North,2024-01-15
16,Customer 016,Monitor,Supplier 06,477,3166,East,2024-01-16
17,Customer 017,Phone,Supplier 07,209,4605,South,2024-01-17
18,Customer 018,Laptop,Supplier 08,12,4685,South,2024-01-18
19,Customer 019,Laptop,Supplier 09,119,7407,West,2024-01-19
20,Customer 020,Phone,Supplier 10,277,2535,Central,2024-01-20
21,Customer 021,Laptop,Supplier 01,177,667,Central,2024-01-21
22,Customer 022,Keyboard,Supplier 02,325,4126,East,2024-01-22
23,Customer 023,Monitor,Supplier 03,429,4935,East,2024-01-23
24,Customer 024,Tablet,Supplier 04,355,8273,East,2024-01-24
25,Customer 025,Monitor,Supplier 05,449,6850,South,2024-01-25
26,Customer 026,Tablet,Supplier 06,4,9122,North,2024-01-26
27,Customer 027,Phone,Supplier 07,486,7948,North,2024-01-27
28,Customer 028,Phone,Supplier 08,171,1099,West,2024-01-28
29,Customer 029,Tablet,Supplier 09,0,1537,Central,2024-01-29
30,Customer 030,Laptop,Supplier 10,388,4683,Central,2024-01-30
31,Customer 031,Phone,Supplier 01,336,6375,West,2024-01-31
32,Customer 032,Keyboard,Supplier 02,192,2348,South,2024-02-01
33,Customer 033,Keyboard,Supplier 03,434,6968,North,2024-02-02
34,Customer 034,Keyboard,Supplier 04,377,3367,East,2024-02-03
35,Customer 035,Keyboard,Supplier 05,372,8714,North,2024-02-04
36,Customer 036,Tablet,Supplier 06,157,4182,West,2024-02-05
37,Customer 037,Laptop,Supplier 07,53,9007,North,2024-02-06
38,Customer 038,Tablet,Supplier 08,105,419,East,2024-02-07
39,Customer 039,Phone,Supplier 09,271,6366,Central,2024-02-08
40,Customer 040,Keyboard,Supplier 10,121,5983,West,2024-02-09
41,Customer 041,Keyboard,Supplier 01,214,7959,South,2024-02-10
42,Customer 042,Keyboard,Supplier 02,251,9021,North,2024-02-11
43,Customer 043,Phone,Supplier 03,492,8040,North,2024-02-12
44,Customer 044,Monitor,Supplier 04,30,5736,South,2024-02-13
45,Customer 045,Tablet,Supplier 05,497,9367,South,2024-02-14
46,Customer 046,Laptop,Supplier 06,72,8331,East,2024-02-15
47,Customer 047,Phone,Supplier 07,364,5369,North,2024-02-16
48,Customer 048,Monitor,Supplier 08,143,6463,West,2024-02-17
49,Customer 049,Monitor,Supplier 09,47,4530,North,2024-02-18
50,Customer 050,Laptop,Supplier 10,22,3046,East,2024-02-19
51,Customer 051,Phone,Supplier 01,471,527,West,2024-02-20
52,Customer 052,Monitor,Supplier 02,118,5324,West,2024-02-21
53,Customer 053,Keyboard,Supplier 03,459,9883,West,2024-02-22
54,Customer 054,Laptop,Supplier 04,432,3688,East,2024-02-23
55,Customer 055,Keyboard,Supplier 05,266,580,North,2024-02-24
56,Customer 056,Laptop,Supplier 06,211,4702,Central,2024-02-25
57,Customer 057,Tablet,Supplier 07,358,1059,West,2024-02-26
58,Customer 058,Tablet,Supplier 08,458,7828,South,2024-02-27
59,Customer 059,Phone,Supplier 09,190,8774,East,2024-02-28
60,Customer 060,Monitor,Supplier 10,234,5956,West,2024-02-29
61,Customer 061,Keyboard,Supplier 01,498,9668,East,2024-03-01
62,Customer 062,Monitor,Supplier 02,382,3913,South,2024-03-02
63,Customer 063,Tablet,Supplier 03,43,2715,West,2024-03-03
64,Customer 064,Keyboard,Supplier 04,297,1740,North,2024-03-04
65,Customer 065,Phone,Supplier 05,48,4160,East,2024-03-05
66,Customer 066,Monitor,Supplier 06,258,4051,West,2024-03-06
67,Customer 067,Laptop,Supplier 07,68,4466,West,2024-03-07
68,Customer 068,Laptop,Supplier 08,326,8843,East,2024-03-08
69,Customer 069,Keyboard,Supplier 09,419,1016,South,2024-03-09
70,Customer 070,Laptop,Supplier 10,201,3694,East,2024-03-10
71,Customer 071,Laptop,Supplier 01,38,9532,Central,2024-03-11
72,Customer 072,Tablet,Supplier 02,303,6463,North,2024-03-12
73,Customer 073,Phone,Supplier 03,290,5913,South,2024-03-13
74,Customer 074,Laptop,Supplier 04,31,2946,North,2024-03-14
75,Customer 075,Laptop,Supplier 05,222,2985,North,2024-03-15
76,Customer 076,Monitor,Supplier 06,339,3975,East,2024-03-16
77,Customer 077,Keyboard,Supplier 07,493,9807,Central,2024-03-17
78,Customer 078,Tablet,Supplier 08,66,5310,West,2024-03-18
79,Customer 079,Keyboard,Supplier 09,121,5978,Central,2024-03-19
80,Customer 080,Monitor,Supplier 10,149,9792,South,2024-03-20
81,Customer 081,Monitor,Supplier 01,133,562,Central,2024-03-21
82,Customer 082,Monitor,Supplier 02,435,5861,North,2024-03-22
83,Customer 083,Laptop,Supplier 03,161,9400,West,2024-03-23
84,Customer 084,Keyboard,Supplier 04,474,9334,Central,2024-03-24
85,Customer 085,Keyboard,Supplier 05,410,2428,West,2024-03-25
86,Customer 086,Keyboard,Supplier 06,201,9325,Central,2024-03-26
87,Customer 087,Phone,Supplier 07,358,3184,West,2024-03-27
88,Customer 088,Tablet,Supplier 08,425,8164,Central,2024-03-28
89,Customer 089,Laptop,Supplier 09,376,8982,South,2024-03-29
90,Customer 090,Tablet,Supplier 10,167,5163,West,2024-03-30
91,Customer 091,Laptop,Supplier 01,162,2976,East,2024-03-31
92,Customer 092,Keyboard,Supplier 02,231,8135,North,2024-04-01
93,Customer 093,Phone,Supplier 03,139,721,West,2024-04-02
94,Customer 094,Phone,Supplier 04,119,1578,North,2024-04-03
95,Customer 095,Keyboard,Supplier 05,38,1020,Central,2024-04-04
96,Customer 096,Tablet,Supplier 06,483,3911,Central,2024-04-05
97,Customer 097,Monitor,Supplier 07,103,9957,Central,2024-04-06
98,Customer 098,Keyboard,Supplier 08,69,3684,Central,2024-04-07
99,Customer 099,Laptop,Supplier 09,399,426,Central,2024-04-08
100,Customer 100,Tablet,Supplier 10,394,8725,South,2024-04-09
101,Customer 101,Monitor,Supplier 01,299,7931,North,2024-04-10
102,Customer 102,Phone,Supplier 02,55,111,West,2024-04-11
103,Customer 103,Laptop,Supplier 03,79,5535,South,2024-04-12
104,Customer 104,Phone,Supplier 04,54,3400,South,2024-04-13
105,Customer 105,Laptop,Supplier 05,84,2237,South,2024-04-14
106,Customer 106,Monitor,Supplier 06,230,5682,South,2024-04-15
